p,n,n_prime,M_p,A,B,C,D,delta_W,DA_ratio,one_minus_DA,B_plus_C_plus_D_minus_A,C_plus_D_minus_A,one_minus_DA_times_p,one_minus_DA_times_p_over_M
5,7,11,-2,0.0295159386068477,-0.0018365472910927456,0.0018365472910927456,0.01652892561983471,0.012987012987012988,0.56,0.44,-0.012987012987012988,-0.011150465695920242,2.2,-1.1
7,13,19,-2,0.015796576461396407,-0.002493074792243767,0.002493074792243767,0.013058963197467353,0.0027376132639290534,0.8266957862281603,0.17330421377183966,-0.0027376132639290534,-0.0002445384716852861,1.2131294964028776,-0.6065647482014388
11,33,43,-2,0.008345709535541878,-0.0008262724595877652,0.001596029313714549,0.008800825999311668,-0.0012248733178965737,1.054532986300516,-0.054532986300515875,0.0012248733178965737,0.002051145777484339,-0.5998628493056746,0.2999314246528373
13,47,59,-3,0.006614455886797535,0.00020221088879520364,0.001686583071242652,0.007380726139703445,-0.002655064212943766,1.115847813640331,-0.11584781364033088,0.002655064212943766,0.0024528533241485622,-1.5060215773243015,0.5020071924414339
17,81,97,-2,0.00479402679109028,-0.000277381125505262,0.0010004725064773955,0.005426594062005714,-0.0013556586518875672,1.1319490479467205,-0.13194904794672047,0.0013556586518875672,0.0016330397773928293,-2.243133815094248,1.121566907547124
19,103,121,-3,0.004318513048279262,0.00029155798218904647,0.0008783137817437146,0.005101032069279133,-0.001952390784932632,1.1812010319875426,-0.18120103198754267,0.001952390784932632,0.0016608328027435855,-3.442819607763311,1.1476065359211036
23,151,173,-2,0.0032760946777773596,7.688208927271406e-05,0.0005802484266608908,0.003639047194301877,-0.001020083032458122,1.1107881646359377,-0.11078816463593766,0.001020083032458122,0.000943200943185408,-2.548127786626566,1.274063893313283
29,243,271,-2,0.0023434129495034342,0.00018566298882972704,0.0004321529201499676,0.0025307671323309493,-0.0008051700918072095,1.0799492820363628,-0.07994928203636283,0.0008051700918072095,0.0006195071029774825,-2.318529179054522,1.159264589527261
31,279,309,-4,0.0022052054196404127,0.0006494041533918645,0.00041735427769332535,0.002416626716141127,-0.0012781797275859047,1.0958737424721139,-0.09587374247211387,0.0012781797275859047,0.0006287755741940401,-2.9720860166355303,0.7430215041588826
37,397,433,-2,0.0016109374708990771,0.000140381320649432,0.00033322159696192783,0.0017387686744288998,-0.0006014341211411827,1.0793520579408207,-0.07935205794082072,0.0006014341211411827,0.0004610528004917506,-2.9360261438103663,1.4680130719051832
