Sieved up to 10000000, found 664579 primes
Computing F_comp spectrum...
Computed F_comp for 30000 gamma points
Computing z-scores for known zeros...

=== Compensated Mertens Spectroscope Results ===
Primes analyzed: 664579
Gamma range: [5.0, 120.0]
Gamma points: 30000

Z-score threshold: 3.0
Zeros detected: 0/30

Detailed Results:
       Gamma       F_comp    Z-score   Detected
--------------------------------------------------
     14.1347     315.8460      0.427         No
     21.0220     311.2152      0.204         No
     25.0109     250.6916      0.109         No
     30.4249     824.1098      0.135         No
     32.9351     871.8337      0.141         No
     37.5862     225.6135     -0.002         No
     40.9187    1052.8262      0.525         No
     43.3271     944.1412      0.064         No
     48.0052    2288.4141      0.149         No
     49.7738    2025.6147      0.373         No
     52.9703     101.5196     -0.148         No
     56.4462     601.9952      0.003         No
     59.3470    3101.2443      1.138         No
     60.8318    4046.5593      0.048         No
     65.1125    1533.4920      0.001         No
     67.0798    1654.6614      0.551         No
     69.5464    1275.4362      0.117         No
     72.0672     681.4502     -0.106         No
     75.7047    6028.8105      0.159         No
     77.1448    5750.5409      0.838         No
     79.3374    1863.1455     -0.042         No
     82.9104    1423.5056     -0.002         No
     84.7355    1249.0683      0.351         No
     87.4253    3005.0471      0.515         No
     88.8091    4979.2470      0.049         No
     92.4919    2043.8615     -0.099         No
     94.6514    8891.6266      0.837         No
     95.8706    9811.4505      0.286         No
     98.8312     245.5703     -0.244         No
    101.3180     193.5400     -0.238         No

Total detected: 0 out of 30 zeros
