Sieving to 243799 ...
Sieve done. Scanning qualifying primes (M(p) <= -3) up to 200000 ...
p,M_p,R,min_R_so_far
13,-3,0.11989382,0.11989382
19,-3,0.33195196,0.11989382
31,-4,1.55600215,0.11989382
43,-3,1.35348402,0.11989382
47,-3,1.56164627,0.11989382
53,-3,1.39974531,0.11989382
71,-3,1.81787117,0.11989382
73,-4,2.79821082,0.11989382
79,-4,2.56278375,0.11989382
83,-4,2.90500541,0.11989382
107,-3,2.88751348,0.11989382
109,-4,3.68732708,0.11989382
113,-5,4.41529461,0.11989382
131,-3,2.75728721,0.11989382
139,-4,3.77514765,0.11989382
173,-3,3.48551785,0.11989382
179,-3,3.44803158,0.11989382
181,-4,4.38311857,0.11989382
191,-5,3.88353195,0.11989382
193,-6,4.74976572,0.11989382
197,-7,5.79160347,0.11989382
199,-8,6.89478899,0.11989382
271,-3,3.98663934,0.11989382
277,-4,5.11096766,0.11989382
281,-4,5.48487369,0.11989382
283,-6,6.70959534,0.11989382
293,-8,7.15636770,0.11989382
311,-3,4.08685535,0.11989382
313,-4,5.05614252,0.11989382
317,-4,5.40677037,0.11989382
379,-3,4.68480911,0.11989382
389,-3,5.34050410,0.11989382
431,-3,3.82482805,0.11989382
433,-4,4.82684561,0.11989382
439,-7,6.04481058,0.11989382
443,-9,7.46290412,0.11989382
449,-7,6.63385865,0.11989382
457,-6,5.99320053,0.11989382
461,-6,6.66642258,0.11989382
463,-6,7.37834882,0.11989382
467,-7,8.41971248,0.11989382
479,-6,7.01434755,0.11989382
487,-5,6.31622213,0.11989382
491,-5,6.47862186,0.11989382
499,-6,6.88334419,0.11989382
503,-5,6.67795796,0.11989382
509,-6,7.03264867,0.11989382
523,-3,5.73294067,0.11989382
617,-3,5.87754016,0.11989382
619,-5,7.27641179,0.11989382
631,-3,5.91717386,0.11989382
643,-4,6.43593938,0.11989382
647,-7,8.61962488,0.11989382
653,-8,9.14681241,0.11989382
659,-10,9.83126569,0.11989382
661,-11,10.66309962,0.11989382
673,-11,10.04105609,0.11989382
677,-11,10.53016218,0.11989382
683,-12,10.93285371,0.11989382
691,-9,9.18292722,0.11989382
701,-5,6.86136490,0.11989382
709,-4,6.31099472,0.11989382
719,-3,5.40838179,0.11989382
733,-3,5.22227684,0.11989382
743,-5,7.24984734,0.11989382
751,-3,6.12982562,0.11989382
757,-3,6.02809319,0.11989382
761,-4,7.21947820,0.11989382
769,-3,6.21713619,0.11989382
829,-3,5.89750685,0.11989382
839,-3,5.80420047,0.11989382
863,-3,7.37227909,0.11989382
1031,-5,7.29248465,0.11989382
1033,-6,8.38580061,0.11989382
1039,-8,9.67021312,0.11989382
1049,-5,8.11066613,0.11989382
1051,-6,8.98639157,0.11989382
1061,-5,8.06323301,0.11989382
1063,-6,9.20968733,0.11989382
1069,-8,10.58490144,0.11989382
1087,-8,8.82669766,0.11989382
1091,-10,10.20839214,0.11989382
1093,-11,11.07565657,0.11989382
1097,-12,11.93163551,0.11989382
1103,-12,12.06411777,0.11989382
1109,-15,13.88699663,0.11989382
1117,-13,12.89212388,0.11989382
1123,-12,12.55598943,0.11989382
1129,-12,12.73337894,0.11989382
1151,-6,7.22750366,0.11989382
1153,-7,8.17175548,0.11989382
1163,-6,7.20852796,0.11989382
1171,-5,6.35471979,0.11989382
1181,-6,6.57292859,0.11989382
1187,-8,7.89132390,0.11989382
1193,-6,6.81098153,0.11989382
1201,-5,6.35492146,0.11989382
1223,-3,6.15988999,0.11989382
1237,-3,7.56844810,0.11989382
1249,-3,6.73531667,0.11989382
1499,-3,8.67437313,0.11989382
1511,-3,8.05266585,0.11989382
1553,-4,7.81085873,0.11989382
1559,-4,7.72788614,0.11989382
1567,-3,6.98715977,0.11989382
1571,-4,7.72926870,0.11989382
1579,-4,7.61602970,0.11989382
1583,-7,9.90981200,0.11989382
1597,-5,8.02859481,0.11989382
1601,-8,10.11269956,0.11989382
1607,-10,11.10546185,0.11989382
1609,-11,12.20663512,0.11989382
1613,-11,12.83657686,0.11989382
1619,-13,14.45985822,0.11989382
1621,-14,15.44126775,0.11989382
1627,-14,15.66015107,0.11989382
1637,-16,16.05703904,0.11989382
1657,-10,11.85327186,0.11989382
1663,-11,12.58887161,0.11989382
1667,-12,13.80559196,0.11989382
1669,-13,14.96410003,0.11989382
1693,-9,10.68091834,0.11989382
1697,-11,12.18505983,0.11989382
1699,-13,13.54593662,0.11989382
1709,-13,13.93093577,0.11989382
1721,-9,10.96366457,0.11989382
1723,-9,11.70846075,0.11989382
1733,-9,11.35933748,0.11989382
1741,-9,10.82913999,0.11989382
1747,-11,12.12673670,0.11989382
1753,-12,13.11799058,0.11989382
1759,-12,12.91360270,0.11989382
1777,-7,9.68277784,0.11989382
1783,-7,9.64981432,0.11989382
1787,-8,10.63196632,0.11989382
1789,-9,11.79240957,0.11989382
1801,-7,9.66107683,0.11989382
