p,M_p,R,B_plus_C_sign,margin_above_neg1
11,-2,-0.517705,1,0.482295
13,-3,0.119894,1,1.119894
17,-2,-0.277250,1,0.722750
19,-3,0.331952,1,1.331952
23,-2,0.132499,1,1.132499
29,-2,0.429623,1,1.429623
31,-4,1.556002,1,2.556002
37,-2,0.421285,1,1.421285
41,-1,0.087637,1,1.087637
43,-3,1.353484,1,2.353484
47,-3,1.561646,1,2.561646
53,-3,1.399745,1,2.399745
59,-1,0.567400,1,1.567400
61,-2,1.263087,1,2.263087
67,-2,1.270521,1,2.270521
71,-3,1.817871,1,2.817871
73,-4,2.798211,1,3.798211
79,-4,2.562784,1,3.562784
83,-4,2.905005,1,3.905005
89,-2,1.972887,1,2.972887
97,1,-0.210857,1,0.789143
101,0,0.595932,1,1.595932
103,-2,1.880412,1,2.880412
107,-3,2.887513,1,3.887513
109,-4,3.687327,1,4.687327
113,-5,4.415295,1,5.415295
127,-2,1.947740,1,2.947740
131,-3,2.757287,1,3.757287
137,-2,2.268887,1,3.268887
139,-4,3.775148,1,4.775148
149,0,1.150831,1,2.150831
151,-1,2.157192,1,3.157192
157,-2,2.632327,1,3.632327
163,0,1.496528,1,2.496528
167,-1,2.435665,1,3.435665
173,-3,3.485518,1,4.485518
179,-3,3.448032,1,4.448032
181,-4,4.383119,1,5.383119
191,-5,3.883532,1,4.883532
193,-6,4.749766,1,5.749766
197,-7,5.791603,1,6.791603
199,-8,6.894789,1,7.894789
211,-2,3.297472,1,4.297472
223,3,-0.316053,1,0.683947
227,3,0.186692,1,1.186692
229,2,1.094118,1,2.094118
233,-1,3.166024,1,4.166024
239,-1,2.959767,1,3.959767
241,-2,3.816711,1,4.816711
251,-2,3.150767,1,4.150767
257,-2,3.242141,1,4.242141
263,-2,3.353643,1,4.353643
269,-2,3.150880,1,4.150880
271,-3,3.986639,1,4.986639
277,-4,5.110968,1,6.110968
281,-4,5.484874,1,6.484874
283,-6,6.709595,1,7.709595
293,-8,7.156368,1,8.156368
