p,mertens_p,cross_exact,cross_float,is_negative
19,-3,-1544259/1361360,-1.1343502086149144,1
23,-2,-1911041/12697776,-0.15050202492152956,1
29,-2,-3282893/564300,-5.8176377813219915,1
31,-4,-133103604377/4436361072,-30.002878985004312,1
37,-2,-48776217793063/4011209802600,-12.15997671362068,1
41,-1,-88309431168347/40071985927974,-2.20376976891227,1
43,-3,-19794844875136943/359704745056800,-55.03081387489396,1
47,-3,-27538556170292775847/409547311252279200,-67.24145273005871,1
53,-3,-713512353356589541481/8513858528148342600,-83.80599125503316,1
59,-1,-31646151395544355946273/809110141502649386400,-39.11229111128467,1
