Sieving to 100000...
Sieve complete.
STREAMING MODE: Computing exact B'/C' for M(p)=-3 primes up to 100000
p,n,T_N,alpha_from_T,B_prime,C_prime,B_over_C,rho,alpha_plus_rho,B_plus_C_positive
13,47,-0.430123,1.430123,0.703896,5.870996,0.119894,-1.310229,0.119894,1
19,103,-1.283860,2.283860,4.268700,12.859392,0.331952,-1.951908,0.331952,1
43,543,-2.895178,3.895178,112.061628,82.794939,1.353484,-2.541694,1.353484,1
47,651,-2.988611,3.988611,136.482905,87.396812,1.561646,-2.426965,1.561646,1
53,831,-3.109897,4.109897,169.611983,121.173460,1.399745,-2.710151,1.399745,1
71,1495,-3.566032,4.566032,394.774870,217.163282,1.817871,-2.748161,1.817871,1
107,3427,-4.781174,5.781174,1467.986968,508.391382,2.887513,-2.893660,2.887513,1
131,5155,-4.812929,5.812929,2224.157296,806.646943,2.757287,-3.055642,2.757287,1
173,9023,-5.631563,6.631563,5008.414368,1436.921163,3.485518,-3.146045,3.485518,1
179,9655,-5.603912,6.603912,5064.228442,1468.730296,3.448032,-3.155880,3.448032,1
271,22205,-6.482217,7.482217,14530.402162,3644.774693,3.986639,-3.495578,3.986639,1
311,29231,-6.417019,7.417019,19185.331733,4694.399509,4.086855,-3.330163,4.086855,1
379,43467,-7.142734,8.142734,33361.750172,7121.261372,4.684809,-3.457925,4.684809,1
389,45817,-7.824440,8.824440,39502.511112,7396.775730,5.340504,-3.483936,5.340504,1
431,56211,-6.338338,7.338338,34659.084089,9061.605823,3.824828,-3.513510,3.824828,1
523,82909,-8.310418,9.310418,78765.719287,13739.147826,5.732941,-3.577477,5.732941,1
617,115381,-8.516921,9.516921,112005.321620,19056.496187,5.877540,-3.639381,5.877540,1
631,120689,-8.500857,9.500857,119433.800334,20184.264169,5.917174,-3.583683,5.917174,1
719,156785,-8.009447,9.009447,136937.248271,25319.449234,5.408382,-3.601065,5.408382,1
733,162969,-7.845397,8.845397,139937.293716,26796.222805,5.222277,-3.623120,5.222277,1
Done 20 primes, last p=733, min B'/C'=0.1199 at p=13
751,171019,-8.732313,9.732313,173212.689453,28257.360011,6.129826,-3.602488,6.129826,1
757,173789,-8.672595,9.672595,174420.166735,28934.550505,6.028093,-3.644502,6.028093,1
769,179409,-8.837055,9.837055,183685.133742,29544.975084,6.217136,-3.619919,6.217136,1
829,208537,-8.608578,9.608578,203682.603845,34537.069481,5.897507,-3.711072,5.897507,1
839,213559,-8.389169,9.389169,200944.978108,34620.612970,5.804200,-3.584969,5.804200,1
863,226001,-9.953534,10.953534,270944.389010,36751.781305,7.372279,-3.581255,7.372279,1
1223,454049,-8.799804,9.799804,459441.777039,74586.036079,6.159890,-3.639914,6.159890,1
1237,464497,-10.323898,11.323898,580914.464239,76754.766128,7.568448,-3.755450,7.568448,1
1249,473559,-9.466147,10.466147,530274.460539,78730.442275,6.735317,-3.730831,6.735317,1
1499,682285,-11.383446,12.383446,975182.730074,112421.118592,8.674373,-3.709073,8.674373,1
1511,693213,-10.756064,11.756064,916573.874630,113822.415117,8.052666,-3.703398,8.052666,1
1567,745543,-9.732578,10.732578,860818.925069,123200.120406,6.987160,-3.745418,6.987160,1
1823,1009345,-9.814407,10.814407,1174950.645850,166461.596226,7.058389,-3.756018,7.058389,1
1831,1018143,-9.845676,10.845676,1195706.033897,168728.923709,7.086550,-3.759126,7.086550,1
1873,1065423,-8.892218,9.892218,1090215.654222,177621.297587,6.137866,-3.754352,6.137866,1
1877,1070023,-9.599038,10.599038,1215625.268669,177584.521524,6.845333,-3.753705,6.845333,1
1933,1134849,-8.977361,9.977361,1165460.501506,188669.372194,6.177264,-3.800098,6.177264,1
2143,1394975,-13.272399,14.272399,2430053.238438,231701.106269,10.487879,-3.784519,10.487879,1
2347,1672979,-11.265648,12.265648,2345333.800291,278117.958326,8.432874,-3.832774,8.432874,1
2377,1716135,-11.874383,12.874383,2593685.740623,285926.129436,9.071174,-3.803209,9.071174,1
Done 40 primes, last p=2377, min B'/C'=0.1199 at p=13
2543,1964371,-9.401741,10.401741,2166499.456459,325215.570314,6.661733,-3.740007,6.661733,1
3049,2824407,-11.350063,12.350063,4012514.703333,468934.518655,8.556663,-3.793400,8.556663,1
3067,2857681,-11.746567,12.746567,4240347.386108,474645.348826,8.933717,-3.812850,8.933717,1
3079,2880211,-11.153967,12.153967,3991811.590834,477460.332200,8.360509,-3.793457,8.360509,1
3617,3975079,-12.398176,13.398176,6344896.956368,660210.735631,9.610412,-3.787764,9.610412,1
3671,4094241,-12.317389,13.317389,6457914.274774,678124.241468,9.523202,-3.794187,9.523202,1
4547,6282051,-10.938332,11.938332,8477100.879737,1043549.925715,8.123330,-3.815002,8.123330,1
4591,6404223,-11.171341,12.171341,8911350.663560,1065694.476710,8.362013,-3.809329,8.362013,1
4643,6550175,-11.060372,12.060372,8981157.885362,1087382.103677,8.259431,-3.800940,8.259431,1
4649,6567305,-11.192247,12.192247,9127297.761121,1091102.017375,8.365210,-3.827037,8.365210,1
5147,8049867,-12.222836,13.222836,12567334.575849,1335440.944456,9.410625,-3.812211,9.410625,1
5167,8112335,-11.119292,12.119292,11182801.629404,1348763.439324,8.291151,-3.828140,8.291151,1
5179,8150711,-11.202172,12.202172,11328694.993104,1353228.653374,8.371604,-3.830568,8.371604,1
5237,8334019,-10.754327,11.754327,10965961.461999,1385678.427870,7.913785,-3.840542,7.913785,1
5939,10718769,-17.006981,18.006981,25206290.932635,1777650.090664,14.179557,-3.827424,14.179557,1
