Sieving to 10000000...
Sieve complete.
HYPERBOLA MODE: Computing alpha for M(p)=-3 primes up to 10000000
p,M_p,T_N,alpha_approx,T_positive,alpha_lt_1
13,-3,-0.430123,1.430123,0,0
19,-3,-1.283860,2.283860,0,0
43,-3,-2.895178,3.895178,0,0
47,-3,-2.988611,3.988611,0,0
53,-3,-3.109897,4.109897,0,0
71,-3,-3.566032,4.566032,0,0
107,-3,-4.781174,5.781174,0,0
131,-3,-4.812929,5.812929,0,0
173,-3,-5.631563,6.631563,0,0
179,-3,-5.603912,6.603912,0,0
243799,-3,0.165222,0.834778,1,1
383983,-3,8.801299,-7.801299,1,1
384203,-3,3.152145,-2.152145,1,1
565549,-3,0.816729,0.183271,1,1
565559,-3,0.129260,0.870740,1,1
567937,-3,23.120434,-22.120434,1,1
570667,-3,6.593819,-5.593819,1,1
570677,-3,5.834554,-4.834554,1,1
570961,-3,6.376890,-5.376890,1,1
571099,-3,6.734527,-5.734527,1,1
571531,-3,13.847290,-12.847290,1,1
571601,-3,14.819139,-13.819139,1,1
571657,-3,15.160136,-14.160136,1,1
571679,-3,14.877885,-13.877885,1,1
572059,-3,15.272860,-14.272860,1,1
572177,-3,12.586385,-11.586385,1,1
572179,-3,11.912467,-10.912467,1,1
572233,-3,12.413126,-11.413126,1,1
631453,-3,5.751729,-4.751729,1,1
638971,-3,8.100062,-7.100062,1,1
639007,-3,7.182704,-6.182704,1,1
960373,-3,8.203614,-7.203614,1,1
960667,-3,12.303133,-11.303133,1,1
1331437,-3,11.508476,-10.508476,1,1
1331443,-3,11.394814,-10.394814,1,1
1331959,-3,11.046803,-10.046803,1,1
1332169,-3,11.573987,-10.573987,1,1
1332217,-3,10.706647,-9.706647,1,1
1332671,-3,10.356033,-9.356033,1,1
1353019,-3,32.809465,-31.809465,1,1
1353089,-3,32.376697,-31.376697,1,1
1353091,-3,31.620194,-30.620194,1,1
1353101,-3,31.687869,-30.687869,1,1
1354081,-3,37.258326,-36.258326,1,1
1354523,-3,43.289974,-42.289974,1,1
1354571,-3,44.621697,-43.621697,1,1
1355591,-3,41.031105,-40.031105,1,1
1359209,-3,31.029700,-30.029700,1,1
1359367,-3,28.591273,-27.591273,1,1
1361471,-3,18.420955,-17.420955,1,1
1362707,-3,11.093326,-10.093326,1,1
1362761,-3,10.411754,-9.411754,1,1
1362833,-3,11.649093,-10.649093,1,1
1362869,-3,13.082358,-12.082358,1,1
1363577,-3,17.085467,-16.085467,1,1
1363727,-3,21.486589,-20.486589,1,1
1364263,-3,24.263872,-23.263872,1,1
1364329,-3,23.825759,-22.825759,1,1
1368617,-3,31.472326,-30.472326,1,1
1368659,-3,32.242684,-31.242684,1,1
1372243,-3,36.948616,-35.948616,1,1
1372271,-3,37.153892,-36.153892,1,1
1373027,-3,38.517583,-37.517583,1,1
1415989,-3,34.041750,-33.041750,1,1
1416497,-3,34.903855,-33.903855,1,1
1416551,-3,36.969074,-35.969074,1,1
1420093,-3,37.146608,-36.146608,1,1
3134039,-3,8.729819,-7.729819,1,1
3134071,-3,6.321559,-5.321559,1,1
3134147,-3,4.743283,-3.743283,1,1
3135529,-3,5.419756,-4.419756,1,1
3136543,-3,16.384636,-15.384636,1,1
3136571,-3,15.601623,-14.601623,1,1
3136597,-3,16.626201,-15.626201,1,1
3136631,-3,14.186687,-13.186687,1,1
3147971,-3,29.700351,-28.700351,1,1
3148031,-3,26.935978,-25.935978,1,1
3148051,-3,26.319289,-25.319289,1,1
3509533,-3,52.371519,-51.371519,1,1
3534673,-3,135.638492,-134.638492,1,1
3534743,-3,135.968203,-134.968203,1,1
3534787,-3,134.768965,-133.768965,1,1
3535087,-3,133.391398,-132.391398,1,1
3535141,-3,134.540581,-133.540581,1,1
3535177,-3,133.922736,-132.922736,1,1
3535369,-3,137.340757,-136.340757,1,1
3535373,-3,136.670891,-135.670891,1,1
3535981,-3,129.011806,-128.011806,1,1
3536899,-3,135.751435,-134.751435,1,1
3536903,-3,135.063455,-134.063455,1,1
3536933,-3,135.110862,-134.110862,1,1
3536987,-3,133.806577,-132.806577,1,1
3632399,-3,51.688903,-50.688903,1,1
3632507,-3,51.807131,-50.807131,1,1
3632513,-3,50.900946,-49.900946,1,1
3632599,-3,49.595269,-48.595269,1,1
3632609,-3,49.911248,-48.911248,1,1
3632753,-3,48.815149,-47.815149,1,1
3632821,-3,44.540880,-43.540880,1,1
3632831,-3,43.824668,-42.824668,1,1
3633349,-3,39.269863,-38.269863,1,1
3634901,-3,40.673850,-39.673850,1,1
3634913,-3,40.071244,-39.071244,1,1
3636019,-3,47.655504,-46.655504,1,1
3636289,-3,52.935038,-51.935038,1,1
3638077,-3,62.131397,-61.131397,1,1
3641489,-3,62.028453,-61.028453,1,1
3641569,-3,62.080355,-61.080355,1,1
3641767,-3,60.871766,-59.871766,1,1
3641783,-3,59.309904,-58.309904,1,1
3643147,-3,74.011554,-73.011554,1,1
3684203,-3,66.402626,-65.402626,1,1
3685289,-3,69.313349,-68.313349,1,1
3685301,-3,69.928155,-68.928155,1,1
3710123,-3,54.037184,-53.037184,1,1
3710167,-3,54.925304,-53.925304,1,1
3710171,-3,54.014971,-53.014971,1,1
3710303,-3,57.383700,-56.383700,1,1
3711881,-3,43.689603,-42.689603,1,1
3712127,-3,37.227013,-36.227013,1,1
3712589,-3,31.534214,-30.534214,1,1
3718573,-3,13.666874,-12.666874,1,1
3718619,-3,13.232079,-12.232079,1,1
3718997,-3,11.842231,-10.842231,1,1
3719011,-3,12.977621,-11.977621,1,1
3719029,-3,11.746010,-10.746010,1,1
4718927,-3,2.848899,-1.848899,1,1
4733317,-3,8.583846,-7.583846,1,1
4733353,-3,8.865136,-7.865136,1,1
