p,n,M_p,B_prime,C_prime,correction_over_C,margin,S5,B_positive
13,47,-3,0.7038961039,5.8709956710,0.440053,0.059947,10.5038961039,1
19,103,-3,4.2687004172,12.8593920785,0.334024,0.165976,20.3577510725,1
43,543,-3,112.0616277498,82.7949394897,-0.176742,0.676742,127.6934436852,1
47,651,-3,136.4829054601,87.3968118880,-0.280823,0.780823,128.7862452282,1
53,831,-3,169.6119825101,121.1734599054,-0.199873,0.699873,178.1173176321,1
71,1495,-3,394.7748701437,217.1632819244,-0.408936,0.908936,312.7672375444,1
107,3427,-3,1467.9869676688,508.3913821716,-0.943757,1.443757,740.5520695962,1
131,5155,-3,2224.1572958233,806.6469426961,-0.878644,1.378644,1166.9183183480,1
173,9023,-3,5008.4143683216,1436.9211631992,-1.242759,1.742759,2079.7861460435,1
179,9655,-3,5064.2284424119,1468.7302963052,-1.224016,1.724016,2132.1944164199,1
271,22205,-3,14530.4021621631,3644.7746927052,-1.493320,1.993320,5292.8522679529,1
311,29231,-3,19185.3317334496,4694.3995089421,-1.543428,2.043428,6769.9441540249,1
379,43467,-3,33361.7501719226,7121.2613722526,-1.842405,2.342405,10339.9829940451,1
389,45817,-3,39502.5111122193,7396.7757296670,-2.170252,2.670252,10703.7898797560,1
431,56211,-3,34659.0840890110,9061.6058231456,-1.412414,1.912414,13096.1770954657,1
523,82909,-3,78765.7192868524,13739.1478263537,-2.366470,2.866470,19932.3808891452,1
617,115381,-3,112005.3216197619,19056.4961874272,-2.438770,2.938770,27509.1830102190,1
631,120689,-3,119433.8003341517,20184.2641691114,-2.458587,2.958587,29185.4468157137,1
719,156785,-3,136937.2482713287,25319.4492344265,-2.204191,2.704191,36558.0703781032,1
733,162969,-3,139937.2937163677,26796.2228048618,-2.111138,2.611138,38774.4989875776,1
751,171019,-3,173212.6894527804,28257.3600110959,-2.564913,3.064913,40932.1336854065,1
757,173789,-3,174420.1667353617,28934.5505046933,-2.514047,3.014047,41839.3337035003,1
769,179409,-3,183685.1337415151,29544.9750844311,-2.608568,3.108568,42757.0967489123,1
829,208537,-3,203682.6038452059,34537.0694814206,-2.448753,2.948753,49893.6860024781,1
839,213559,-3,200944.9781081869,34620.6129695643,-2.402100,2.902100,50004.6445515817,1
863,226001,-3,270944.3890101735,36751.7813046116,-3.186140,3.686140,53046.1924924158,1
1223,454049,-3,459441.7770393597,74586.0360787869,-2.579945,3.079945,107587.5650318663,1
1237,464497,-3,580914.4642388597,76754.7661275823,-3.284224,3.784224,110865.4106524644,1
1249,473559,-3,530274.4605394887,78730.4422749769,-2.867658,3.367658,113714.2663154726,1
1499,682285,-3,975182.7300740338,112421.1185921036,-3.837187,4.337187,162174.4199302742,1
1511,693213,-3,916573.8746296618,113822.4151173021,-3.526333,4.026333,164218.3858100264,1
1567,745543,-3,860818.9250691570,123200.1204063904,-2.993580,3.493580,177865.5692312252,1
1823,1009345,-3,1174950.6458500214,166461.5962261674,-3.029194,3.529194,240073.7901105341,1
1831,1018143,-3,1195706.0338970448,168728.9237086292,-3.043275,3.543275,243486.7210631688,1
1873,1065423,-3,1090215.6542218458,177621.2975866341,-2.568933,3.068933,256384.5431958123,1
1877,1070023,-3,1215625.2686685838,177584.5215239894,-2.922667,3.422667,255848.8069206369,1
1933,1134849,-3,1165460.5015056073,188669.3721941837,-2.588632,3.088632,272296.8678027866,1
2143,1394975,-3,2430053.2384378319,231701.1062687879,-4.743940,5.243940,334344.5606215292,1
2347,1672979,-3,2345333.8002910293,278117.9583257167,-3.716437,4.216437,401371.6362178161,1
2377,1716135,-3,2593685.7406229163,285926.1294358131,-4.035587,4.535587,412438.6487883364,1
2543,1964371,-3,2166499.4564587395,325215.5703135145,-2.830867,3.330867,468933.5925826049,1
3049,2824407,-3,4012514.7033331939,468934.5186546704,-3.778332,4.278332,676400.2491424911,1
3067,2857681,-3,4240347.3861077065,474645.3488259732,-3.966859,4.466859,684669.6049517459,1
3079,2880211,-3,3991811.5908342963,477460.3321997522,-3.680255,4.180255,688456.0673020277,1
3617,3975079,-3,6344896.9563681940,660210.7356308876,-4.305206,4.805206,951412.2611393549,1
3671,4094241,-3,6457914.2747740233,678124.2414678640,-4.261601,4.761601,977150.4799781280,1
4547,6282051,-3,8477100.8797366098,1043549.9257147604,-3.561665,4.061665,1503900.3343970855,1
4591,6404223,-3,8911350.6635599528,1065694.4767098452,-3.681006,4.181006,1535843.4070483434,1
4643,6550175,-3,8981157.8853624072,1087382.1036767268,-3.629716,4.129716,1567356.6671882852,1
4649,6567305,-3,9127297.7611206677,1091102.0173754611,-3.682605,4.182605,1572242.6354967116,1
5147,8049867,-3,12567334.5758485366,1335440.9444563838,-4.205313,4.705313,1924992.2000336987,1
5167,8112335,-3,11182801.6294039059,1348763.4393244479,-3.645576,4.145576,1943875.2285562090,1
5179,8150711,-3,11328694.9931037407,1353228.6533735171,-3.685802,4.185802,1950804.7573285729,1
5237,8334019,-3,10965961.4619989954,1385678.4278696566,-3.456893,3.956893,1996216.0600929898,1
5939,10718769,-3,25206290.9326351546,1777650.0906639977,-6.589779,7.089779,2561430.9502507811,1
5953,10769189,-3,23092697.3169307299,1790936.2761242790,-5.947102,6.447102,2581466.9194253199,1
6113,11355637,-3,17826821.1946450658,1888440.8105814490,-4.219984,4.719984,2721045.5392921893,1
6131,11422657,-3,16483011.8342731427,1897934.1509886016,-3.842356,4.342356,2734902.9202831709,1
6199,11677827,-3,12347843.8731718101,1940449.5005121829,-2.681697,3.181697,2796760.1374033792,1
7193,15723245,-3,28248956.2475961857,2616373.3433352951,-4.898495,5.398495,3770065.2776166303,1
7207,15783913,-3,26508315.3611006141,2622749.8946699328,-4.553535,5.053535,3779452.0838525416,1
7211,15801647,-3,28587218.3515452147,2629879.7979258779,-4.935081,5.435081,3789068.9636788685,1
7229,15880949,-3,32582859.0824840292,2640471.6239562333,-5.669894,6.169894,3803471.1815261543,1
7589,17502283,-3,36109136.7326397002,2909360.4242357593,-5.705683,6.205683,4191599.6401982456,1
7603,17566829,-3,37058314.6533327922,2922037.5567678423,-5.841177,6.341177,4210859.6806988344,1
7607,17585777,-3,37874710.4592661858,2922868.6879722048,-5.979030,6.479030,4210593.6544622472,1
7717,18097533,-3,41604303.2558185980,3010816.2972062621,-6.409140,6.909140,4339261.6223308844,1
7883,18885513,-3,38170124.7300174832,3138936.4135355945,-5.580105,6.080105,4522491.9019136690,1
7933,19125065,-3,38639687.2306124195,3180507.8031964973,-5.574453,6.074453,4583816.4074970428,1
