p,M_p,B_raw,delta_sq,B_plus_C,ratio,n_farey
13,-3,0.7038961039,5.8709956710,6.5748917749,0.1198938210,47
19,-3,4.2687004172,12.8593920785,17.1280924957,0.3319519610,103
43,-3,112.0616277498,82.7949394897,194.8565672394,1.3534840226,543
47,-3,136.4829054601,87.3968118880,223.8797173481,1.5616462719,651
53,-3,169.6119825101,121.1734599054,290.7854424154,1.3997453126,831
71,-3,394.7748701437,217.1632819244,611.9381520681,1.8178711735,1495
107,-3,1467.9869676688,508.3913821716,1976.3783498405,2.8875134771,3427
131,-3,2224.1572958233,806.6469426961,3030.8042385195,2.7572872072,5155
173,-3,5008.4143683216,1436.9211631992,6445.3355315207,3.4855178534,9023
179,-3,5064.2284424119,1468.7302963052,6532.9587387171,3.4480315788,9655
271,-3,14530.4021621631,3644.7746927052,18175.1768548683,3.9866393364,22205
311,-3,19185.3317334496,4694.3995089421,23879.7312423916,4.0868553469,29231
379,-3,33361.7501719226,7121.2613722526,40483.0115441752,4.6848091129,43467
389,-3,39502.5111122193,7396.7757296670,46899.2868418864,5.3405041002,45817
431,-3,34659.0840890110,9061.6058231456,43720.6899121566,3.8248280454,56211
523,-3,78765.7192868524,13739.1478263537,92504.8671132061,5.7329406658,82909
617,-3,112005.3216197619,19056.4961874272,131061.8178071890,5.8775401584,115381
631,-3,119433.8003341517,20184.2641691114,139618.0645032632,5.9171738605,120689
719,-3,136937.2482713287,25319.4492344265,162256.6975057551,5.4083817939,156785
733,-3,139937.2937163677,26796.2228048618,166733.5165212295,5.2222768386,162969
751,-3,173212.6894527804,28257.3600110959,201470.0494638763,6.1298256237,171019
757,-3,174420.1667353617,28934.5505046933,203354.7172400549,6.0280931859,173789
769,-3,183685.1337415151,29544.9750844311,213230.1088259462,6.2171361870,179409
829,-3,203682.6038452059,34537.0694814206,238219.6733266265,5.8975068500,208537
839,-3,200944.9781081869,34620.6129695643,235565.5910777512,5.8042004711,213559
863,-3,270944.3890101735,36751.7813046116,307696.1703147851,7.3722790948,226001
1223,-3,459441.7770393597,74586.0360787869,534027.8131181466,6.1598899901,454049
1237,-3,580914.4642388597,76754.7661275823,657669.2303664420,7.5684481049,464497
1249,-3,530274.4605394887,78730.4422749769,609004.9028144657,6.7353166732,473559
1499,-3,975182.7300740338,112421.1185921036,1087603.8486661376,8.6743731275,682285
1511,-3,916573.8746296618,113822.4151173021,1030396.2897469639,8.0526658452,693213
1567,-3,860818.9250691570,123200.1204063904,984019.0454755474,6.9871597709,745543
1823,-3,1174950.6458500214,166461.5962261674,1341412.2420761888,7.0583886764,1009345
1831,-3,1195706.0338970448,168728.9237086292,1364434.9576056742,7.0865504717,1018143
1873,-3,1090215.6542218458,177621.2975866341,1267836.9518084798,6.1378656109,1065423
1877,-3,1215625.2686685838,177584.5215239894,1393209.7901925733,6.8453334685,1070023
1933,-3,1165460.5015056073,188669.3721941837,1354129.8736997910,6.1772638980,1134849
2143,-3,2430053.2384378319,231701.1062687879,2661754.3447066196,10.4878793096,1394975
2347,-3,2345333.8002910293,278117.9583257167,2623451.7586167459,8.4328743617,1672979
2377,-3,2593685.7406229163,285926.1294358131,2879611.8700587293,9.0711742426,1716135
2543,-3,2166499.4564587395,325215.5703135145,2491715.0267722541,6.6617334907,1964371
3049,-3,4012514.7033331939,468934.5186546704,4481449.2219878640,8.5566631240,2824407
3067,-3,4240347.3861077065,474645.3488259732,4714992.7349336799,8.9337173462,2857681
3079,-3,3991811.5908342963,477460.3321997522,4469271.9230340486,8.3605093903,2880211
3617,-3,6344896.9563681940,660210.7356308876,7005107.6919990815,9.6104116670,3975079
3671,-3,6457914.2747740233,678124.2414678640,7136038.5162418876,9.5232022097,4094241
4547,-3,8477100.8797366098,1043549.9257147604,9520650.8054513708,8.1233304424,6282051
4591,-3,8911350.6635599528,1065694.4767098452,9977045.1402697973,8.3620126202,6404223
4643,-3,8981157.8853624072,1087382.1036767268,10068539.9890391342,8.2594313949,6550175
