     p  M(p)  ΔW<0      C+D-A          B      C/A      D/A
    11    -2   YES   0.002051  -0.000826   0.1912   1.0545
    13    -3   YES   0.002453   0.000202   0.2550   1.1158
    17    -2   YES   0.001633  -0.000277   0.2087   1.1319
    19    -3   YES   0.001661   0.000292   0.2034   1.1812
    23    -2   YES   0.000943   0.000077   0.1771   1.1108
    29    -2   YES   0.000620   0.000186   0.1844   1.0799
    31    -4   YES   0.000629   0.000649   0.1893   1.0959
    37    -2   YES   0.000461   0.000140   0.2068   1.0794
    41    -1   YES   0.000348   0.000023   0.1816   1.0621
    43    -3   YES   0.000348   0.000327   0.1827   1.0801
    47    -3   YES   0.000293   0.000281   0.1567   1.0985
   101     0   YES   0.000057   0.000029   0.1552   1.0266
   401     0   YES   0.000003   0.000014   0.1335   0.9848
   569     5   YES   0.000001   0.000001   0.1306   0.9868
   571     5   YES   0.000002   0.000002   0.1306   0.9938
   587     6   YES   0.000001   0.000001   0.1295   0.9900
   593     6   YES   0.000001   0.000000   0.1304   0.9907
   601     3   YES   0.000001   0.000004   0.1330   0.9910
   701    -5   YES   0.000001   0.000007   0.1318   1.0013
  1201    -5   YES   0.000000   0.000002   0.1319   0.9925
  1301    -1   YES   0.000000   0.000002   0.1299   0.9963
  1361     6   YES   0.000000   0.000001   0.1301   0.9928
  1367     7   YES   0.000000   0.000001   0.1280   0.9863
  1373     6   YES   0.000000   0.000001   0.1289   0.9937
  1399     8    NO   0.000000  -0.000000   0.1275   0.9809
  1409     9    NO   0.000000  -0.000001   0.1280   0.9840
  1423    11    NO   0.000000  -0.000001   0.1279   0.9832
  1427     9    NO   0.000000  -0.000001   0.1281   0.9810
  1429     8    NO   0.000000  -0.000000   0.1290   0.9853
  1433     8   YES   0.000000  -0.000000   0.1283   0.9829
  1439     7   YES   0.000000  -0.000000   0.1274   0.9908

ΔW > 0 violations: [1399, 1409, 1423, 1427, 1429]
Tested 235 primes to p=1499
