p,N,T_N,M_half,M_third,M_fifth,M_sixth,M_seventh,p_mod6,p_mod12,p_mod30,p_mod24
13,12,-0.4301226551,-1,-1,0,0,1,1,1,13,13
19,18,-1.5338601758,-2,-1,-1,-1,0,1,7,19,19
43,42,-2.8951782247,-2,-2,-2,-2,-1,1,7,13,19
47,46,-2.9886110361,-2,-1,-2,-2,-1,5,11,17,23
53,52,-0.8027536850,-1,-2,-1,-2,-2,5,5,23,5
71,70,-3.8160322653,-1,-2,-2,-2,-1,5,11,11,23
107,106,-7.8101419238,-3,-1,-2,-2,-1,5,11,17,11
131,130,-1.9748696511,0,-3,-1,-2,-2,5,11,11,11
173,172,-2.6821987328,-2,-1,-2,-1,-2,5,5,23,5
179,178,-2.6545471734,-2,-1,-1,-2,-2,5,11,29,11
271,270,-6.5447174258,-1,-2,-3,-3,-1,1,7,1,7
311,310,-6.4170185607,-1,-2,-1,-2,-3,5,11,11,23
379,378,-3.7528887693,-3,-1,-3,-1,-3,1,7,19,19
389,388,-7.8244403832,-5,-1,-2,-1,-2,5,5,29,5
431,430,-6.3383377969,1,-1,-2,-3,-2,5,11,11,23
523,522,-8.3104177827,-2,-4,-2,-1,-3,1,7,13,19
617,616,-8.5169212922,-2,-4,-1,-1,-1,5,5,17,17
631,630,-8.5808570024,-3,-1,-1,-3,-2,1,7,1,7
719,718,-8.0094466937,-1,-1,-1,-3,-1,5,11,29,23
733,732,-7.8824338386,0,-2,1,-2,-2,1,1,13,13
751,750,-8.7693502993,-3,-1,0,-1,-3,1,7,1,7
757,756,-8.6725952386,-2,-2,-1,-1,-3,1,1,7,13
769,768,-8.8370548495,-2,-1,-1,-2,-4,1,1,19,1
829,828,-8.6085783807,0,-3,-1,-3,-4,1,1,19,13
839,838,-8.3891691332,0,-3,-1,-4,-3,5,11,29,23
863,862,-6.0608455552,-3,-7,-2,-1,-1,5,11,23,23
1223,1222,-8.7998041539,-1,0,-2,-5,-4,5,11,23,23
1237,1236,-14.4992511879,-4,-1,-2,-3,-4,1,1,7,13
1249,1248,-13.6415002274,-3,1,-1,-3,-2,1,1,19,1
1499,1498,-11.3834461157,-2,-6,-5,-1,0,5,11,29,11
1511,1510,-10.7560639680,-2,-5,-3,-2,1,5,11,11,23
1567,1566,-9.7325780029,-1,-2,-4,-2,3,1,7,7,7
1823,1822,-9.8144068899,-1,0,0,-2,-2,5,11,23,23
1831,1830,-9.8456764499,0,-2,0,-1,-2,1,7,1,7
1873,1872,-4.6119867628,5,-3,-3,-3,-1,1,1,13,1
1877,1876,-5.3188072313,3,-3,-3,-3,-1,5,5,17,5
1933,1932,-8.9773614241,5,-4,-2,-4,-3,1,1,13,13
2143,2142,-17.7325643148,-9,-3,0,-1,-1,1,7,13,7
2347,2346,-11.3281479991,-6,-1,-6,-1,2,1,7,7,19
2377,2376,-11.8743832145,-8,-1,-6,2,2,1,1,7,1
2543,2542,-9.4617407389,1,-1,-5,0,0,5,11,23,23
3049,3048,-15.9800384801,0,-1,-1,-5,-6,1,1,19,1
3067,3066,-16.3765427971,-1,-3,-2,-4,-6,1,7,7,19
3079,3078,-15.7839427182,1,-4,-2,-4,-7,1,7,19,7
3617,3616,-12.4148423527,-5,-2,-1,2,-2,5,5,17,17
3671,3670,-12.3173892873,-4,-3,-2,-1,-3,5,11,11,23
4547,4546,-6.1788307933,5,-2,-1,-3,-6,5,11,17,11
4591,4590,-11.1713413855,0,1,1,-4,-8,1,7,1,7
4643,4642,-11.0897836007,0,-1,4,-2,-11,5,11,23,11
4649,4648,-11.2216585304,1,-2,3,-2,-11,5,5,29,17
5147,5146,-12.2228362328,2,-10,-3,-2,-2,5,11,17,11
5167,5166,-11.1192915503,5,-8,-6,-3,-1,1,7,7,7
5179,5178,-11.2021720428,5,-8,-7,-3,-2,1,7,19,19
