=== ERGODIC/EXPLICIT FORMULA ATTACK ===
Computing key quantities for small M(p) <= -3 primes

Computing Mertens function...
     p   M(p)        n      C_W        C/A        D/A
------------------------------------------------------------
    13     -3       47   0.2172   0.254984   1.115848
    19     -3      103   0.2823   0.203383   1.181201
    31     -4      279   0.3581   0.189259   1.095874
    43     -3      543   0.4017   0.182708   1.080126
    47     -3      651   0.4137   0.156720   1.098544
    53     -3      831   0.4283   0.165048   1.093724
    71     -3     1495   0.4535   0.156486   1.079029
    73     -4     1589   0.4742   0.169368   1.001477
    79     -4     1857   0.4724   0.153639   1.045972
    83     -4     2061   0.4909   0.144708   1.067830
   107     -3     3427   0.5086   0.143606   1.051476
   109     -4     3569   0.5276   0.149511   1.023165
   113     -5     3837   0.5339   0.148647   1.006950
   131     -3     5155   0.5293   0.145964   1.022954
   139     -4     5815   0.5361   0.142204   1.030816
   173     -3     9023   0.5494   0.143551   1.013013
   179     -3     9655   0.5495   0.137161   1.042587
   181     -4     9881   0.5630   0.144137   1.003204
   191     -5    10977   0.5473   0.142564   1.024193
   193     -6    11231   0.5614   0.146390   0.994528
   197     -7    11699   0.5712   0.137154   1.022608
   199     -8    11955   0.5893   0.133374   1.011699
   271     -3    22205   0.5799   0.140681   1.017301
   277     -4    23171   0.5774   0.140449   1.008012
   281     -4    23861   0.5890   0.140068   0.983538
   283     -6    24233   0.6031   0.133370   1.014087
   293     -8    25975   0.6017   0.131578   1.023632
   311     -3    29231   0.5773   0.138348   1.010986
   313     -4    29637   0.5868   0.140093   0.999497
   317     -4    30405   0.5954   0.135135   1.019465
   379     -3    43467   0.5887   0.138556   1.006651
   389     -3    45817   0.5986   0.134285   1.016432
   431     -3    56211   0.5910   0.135864   1.020042
   433     -4    56785   0.5969   0.137269   1.002838
   439     -7    58377   0.6040   0.133446   0.999670
   443     -9    59419   0.6114   0.133081   1.000226
   449     -7    61067   0.6059   0.134094   1.006745
   457     -6    63217   0.6050   0.136168   1.002228
   461     -6    64365   0.6057   0.134018   1.011043
   463     -6    64945   0.6128   0.134291   0.996057
   467     -7    66103   0.6216   0.129050   1.010916
   479     -6    69515   0.6096   0.130706   1.019388
   487     -5    71823   0.6059   0.134173   1.005119
   491     -5    73041   0.6095   0.134422   1.008550
   499     -6    75419   0.6044   0.134370   1.005219
   503     -5    76699   0.6106   0.130783   1.020999
   509     -6    78529   0.6107   0.131867   1.016096
   523     -3    82909   0.6106   0.135276   0.996532
   617     -3   115381   0.6108   0.134846   1.007659
   619     -5   116201   0.6170   0.132615   1.002622
   631     -3   120689   0.6127   0.136135   0.986812
   643     -4   125391   0.6161   0.131819   1.009630
   647     -7   126921   0.6219   0.130681   1.009970
   653     -8   129287   0.6231   0.131476   0.993666
   659    -10   131703   0.6303   0.128503   1.004251
   661    -11   132521   0.6384   0.129192   0.979779
   673    -11   137319   0.6292   0.132042   0.977711
   677    -11   138999   0.6339   0.130040   0.983919
   683    -12   141483   0.6362   0.128162   0.992478
   691     -9   144811   0.6273   0.131411   0.994822
   701     -5   149019   0.6211   0.131835   1.001309
   709     -4   152455   0.6162   0.132753   1.002988
   719     -3   156785   0.6131   0.131410   1.018545
   733     -3   162969   0.6154   0.133286   1.003832
   743     -5   167425   0.6172   0.132597   0.998390
   751     -3   171019   0.6172   0.133562   0.996938
   757     -3   173789   0.6185   0.134293   0.994184
   761     -4   175651   0.6233   0.132641   0.993882
   769     -3   179409   0.6223   0.132024   0.998419
   829     -3   208537   0.6202   0.133250   1.006404
   839     -3   213559   0.6191   0.130666   1.009396
   863     -3   226001   0.6304   0.128739   1.002592
  1031     -5   322533   0.6276   0.130686   1.003593
  1033     -6   323899   0.6325   0.130248   0.995166
  1039     -8   327655   0.6326   0.129392   0.998615
  1049     -5   333971   0.6299   0.129956   1.002505
  1051     -6   335259   0.6348   0.130711   0.993623
  1061     -5   341647   0.6310   0.130930   0.999326
  1063     -6   343055   0.6350   0.129574   0.998112
  1069     -8   346901   0.6352   0.129835   0.992339
  1087     -8   358501   0.6279   0.130939   1.002437
  1091    -10   361191   0.6331   0.129220   1.005569
  1093    -11   362569   0.6395   0.130136   0.975772
  1097    -12   365327   0.6452   0.127527   0.996642
  1103    -12   369355   0.6470   0.126906   0.993124
  1109    -15   373317   0.6558   0.125066   0.993519
  1117    -13   378693   0.6469   0.127783   0.988077
