p,M(p),R1,delta2_ratio,total,margin,method
13,-3,0.775079918457,0.254984400850,1.030064319307,0.030064319307,exact
17,-2,0.863306762374,0.208691471716,1.071998234090,0.071998234090,exact
19,-3,0.932308073168,0.203383380327,1.135691453495,0.135691453495,exact
23,-2,0.897499099889,0.177115890636,1.074614990525,0.074614990525,exact
29,-2,0.920060687034,0.184411765857,1.104472452891,0.104472452891,exact
31,-4,0.940370897706,0.189258684917,1.129629582624,0.129629582624,exact
37,-2,0.978772410028,0.206849491666,1.185621901694,0.185621901694,exact
41,-1,0.970120167254,0.181553492322,1.151673659576,0.151673659576,exact
43,-3,0.978461831730,0.182707573193,1.161169404922,0.161169404922,exact
47,-3,0.983969714863,0.156719788889,1.140689503752,0.140689503752,exact
53,-3,1.002696230680,0.165047905726,1.167744136405,0.167744136405,exact
59,-1,0.953566781669,0.152358889112,1.105925670781,0.105925670781,exact
61,-2,0.994396262948,0.181967480134,1.176363743082,0.176363743082,exact
67,-2,0.993605870640,0.166938857933,1.160544728573,0.160544728573,exact
71,-3,1.003955818657,0.156485909569,1.160441728226,0.160441728226,exact
73,-4,0.943470940338,0.169367929577,1.112838869915,0.112838869915,exact
79,-4,0.977281175109,0.153639087556,1.130920262665,0.130920262665,exact
83,-4,0.997758036760,0.144708224688,1.142466261448,0.142466261448,exact
89,-2,0.983209932997,0.150370493799,1.133580426796,0.133580426796,exact
101,0,0.988099494074,0.155235811904,1.143335305978,0.143335305978,exact
103,-2,1.000756953194,0.152804593410,1.153561546605,0.153561546605,exact
107,-3,0.996736917478,0.143605781080,1.140342698558,0.140342698558,exact
109,-4,0.977638312151,0.149511296211,1.127149608362,0.127149608362,exact
113,-5,0.961212516254,0.148647394702,1.109859910956,0.109859910956,exact
127,-2,0.991754760522,0.155700497268,1.147455257789,0.147455257789,exact
131,-3,0.984210020580,0.145963507840,1.130173528421,0.130173528421,exact
137,-2,1.003702188369,0.150642039468,1.154344227837,0.154344227837,exact
139,-4,0.988686637134,0.142203637791,1.130890274925,0.130890274925,exact
149,0,0.995637510140,0.142692508710,1.138330018850,0.138330018850,exact
151,-1,0.990888831163,0.146540431412,1.137429262576,0.137429262576,exact
157,-2,0.991918262224,0.149898442658,1.141816704882,0.141816704882,exact
163,0,0.997320257631,0.147386300360,1.144706557991,0.144706557991,exact
167,-1,0.990828518022,0.137908802627,1.128737320649,0.128737320649,exact
173,-3,0.982603285052,0.143550726308,1.126154011361,0.126154011361,exact
179,-3,1.006591996042,0.137160902687,1.143752898729,0.143752898729,exact
181,-4,0.975840981755,0.144137179736,1.119978161491,0.119978161491,exact
191,-5,0.993141669218,0.142564124095,1.135705793314,0.135705793314,exact
193,-6,0.969453047501,0.146389578638,1.115842626138,0.115842626138,exact
197,-7,0.989352619596,0.137153691992,1.126506311588,0.126506311588,exact
199,-8,0.977646438286,0.133374409360,1.111020847646,0.111020847646,exact
211,-2,0.981645771929,0.147628490503,1.129274262432,0.129274262432,mpmath
233,-1,0.984777352045,0.138552432676,1.123329784721,0.123329784721,mpmath
239,-1,0.994706240466,0.136755772437,1.131462012902,0.131462012902,mpmath
241,-2,0.981378887166,0.144400055303,1.125778942469,0.125778942469,mpmath
251,-2,1.002567666579,0.136959737875,1.139527404454,0.139527404454,mpmath
257,-2,1.002081295130,0.142869431983,1.144950727113,0.144950727113,mpmath
263,-2,1.000200152932,0.136875357915,1.137075510847,0.137075510847,mpmath
269,-2,0.993507853631,0.138055751242,1.131563604873,0.131563604873,mpmath
271,-3,0.999249294470,0.140681142025,1.139930436495,0.139930436495,mpmath
277,-4,0.987669127688,0.140448564734,1.128117692423,0.128117692423,mpmath
281,-4,0.965611399578,0.140068472040,1.105679871618,0.105679871618,mpmath
283,-6,0.991193944246,0.133369861110,1.124563805356,0.124563805356,mpmath
293,-8,0.998626134501,0.131578300593,1.130204435094,0.130204435094,mpmath
307,-2,1.000677931733,0.140030639727,1.140708571460,0.140708571460,mpmath
311,-3,0.991920963167,0.138347758935,1.130268722102,0.130268722102,mpmath
313,-4,0.983214689978,0.140092530286,1.123307220264,0.123307220264,mpmath
317,-4,1.000082557011,0.135135108232,1.135217665243,0.135217665243,mpmath
331,0,0.983606637644,0.139981375779,1.123588013424,0.123588013424,mpmath
353,0,0.987174147870,0.139129393020,1.126303540890,0.126303540890,mpmath
359,-1,0.998264384214,0.132877600577,1.131141984791,0.131141984791,mpmath
367,-1,0.994615355141,0.134328536048,1.128943891190,0.128943891190,mpmath
373,-2,1.003060755085,0.136593441203,1.139654196289,0.139654196289,mpmath
379,-3,0.992222055599,0.138555969327,1.130778024926,0.130778024926,mpmath
383,-2,0.990641770232,0.133902063136,1.124543833368,0.124543833368,mpmath
389,-3,0.999764458695,0.134284949092,1.134049407787,0.134049407787,mpmath
401,0,0.972207292145,0.133504653640,1.105711945786,0.105711945786,mpmath
409,-1,0.979495339224,0.136657350470,1.116152689695,0.116152689695,mpmath
419,0,0.993635386200,0.134007102314,1.127642488514,0.127642488514,mpmath
421,-1,0.981672713268,0.139226626926,1.120899340194,0.120899340194,mpmath
431,-3,1.005753500043,0.135863686621,1.141617186664,0.141617186664,mpmath
433,-4,0.990449103500,0.137269384596,1.127718488096,0.127718488096,mpmath
