pl_name,hostname,pl_orbper,sy_pnum
"KOI-94 d","KOI-94",22.34298900000,4
"Kepler-104 c","Kepler-104",23.66820500000,3
"Kepler-20 d","Kepler-20",77.61145500000,6
"Kepler-79 d","Kepler-79",52.09020000000,4
"Kepler-106 e","Kepler-106",43.84450000000,4
"Kepler-10 b","Kepler-10",0.83749070000,3
"KOI-94 c","KOI-94",10.42364800000,4
"Kepler-79 c","Kepler-79",27.40290000000,4
"Kepler-10 c","Kepler-10",45.29430100000,3
"KOI-94 e","KOI-94",54.32031000000,4
"Kepler-79 b","Kepler-79",13.48450000000,4
"Kepler-19 b","Kepler-19",9.28699000000,3
"Kepler-454 b","Kepler-454",10.57375340000,3
"Kepler-122 c","Kepler-122",12.46598800000,5
"Kepler-49 b","Kepler-49",7.20000000000,4
"KOI-142 b","KOI-142",10.91647000000,3
"Kepler-48 b","Kepler-48",4.77800000000,5
"Kepler-487 b","Kepler-487",15.35876840300,3
"Kepler-100 c","Kepler-100",12.81590000000,4
"Kepler-11 c","Kepler-11",13.02410000000,6
"Kepler-20 c","Kepler-20",10.85407740000,6
"Kepler-106 c","Kepler-106",13.57080000000,4
"Kepler-18 c","Kepler-18",7.64159000000,3
"Kepler-26 b","Kepler-26",12.28000000000,4
"Kepler-102 e","Kepler-102",16.14569940000,5
"Kepler-107 e","Kepler-107",14.74914300000,4
"Kepler-124 c","Kepler-124",13.82137500000,3
"Kepler-68 b","Kepler-68",5.39875259000,4
"Kepler-49 c","Kepler-49",10.91000000000,4
"Kepler-48 c","Kepler-48",9.67395000000,5
"Kepler-11 d","Kepler-11",22.68450000000,6
"Kepler-20 b","Kepler-20",3.69610490000,6
"Kepler-26 c","Kepler-26",17.25590000000,4
"Kepler-102 d","Kepler-102",10.31176700000,5
"Kepler-107 c","Kepler-107",4.90145200000,4
"Kepler-49 d","Kepler-49",2.57654900000,4
"Kepler-11 e","Kepler-11",31.99960000000,6
"Kepler-107 b","Kepler-107",3.18002180000,4
"Kepler-25 c","Kepler-25",12.72070000000,3
"Kepler-37 d","Kepler-37",39.79226220000,4
"Kepler-127 d","Kepler-127",48.63040800000,3
"Kepler-25 b","Kepler-25",6.23829700000,3
"Kepler-127 c","Kepler-127",29.39319500000,3
"Kepler-65 c","Kepler-65",5.85994400000,4
"Kepler-104 b","Kepler-104",11.42754800000,3
"Kepler-114 c","Kepler-114",8.04100000000,3
"Kepler-23 c","Kepler-23",10.74000000000,3
"Kepler-122 b","Kepler-122",5.76619300000,5
"Kepler-18 d","Kepler-18",14.85888000000,3
"Kepler-114 b","Kepler-114",5.18854900000,3
"Kepler-48 d","Kepler-48",42.89610000000,5
"Kepler-114 d","Kepler-114",11.77600000000,3
"Kepler-104 d","Kepler-104",51.75539400000,3
"Kepler-126 b","Kepler-126",10.49571100000,3
"Kepler-129 b","Kepler-129",15.79000000000,3
"Kepler-126 d","Kepler-126",100.28313400000,3
"Kepler-132 d","Kepler-132",18.01019900000,4
"Kepler-139 b","Kepler-139",15.77104400000,5
"Kepler-450 b","Kepler-450",28.45485100000,3
"Kepler-132 c","Kepler-132",6.41491400000,4
"Kepler-132 b","Kepler-132",6.17819600000,4
"Kepler-92 b","Kepler-92",13.74900000000,3
"Kepler-138 c","Kepler-138",13.78150000000,4
"Kepler-130 c","Kepler-130",27.50868000000,3
"Kepler-529 b","Kepler-529",1.98035766300,3
"Kepler-142 c","Kepler-142",4.76170200000,3
"KOI-351 h","KOI-351",331.60296000000,8
"Kepler-142 b","Kepler-142",2.02415200000,3
"Kepler-11 f","Kepler-11",46.68880000000,6
"Kepler-138 d","Kepler-138",23.09230000000,4
"Kepler-11 g","Kepler-11",118.38070000000,6
"Kepler-51 b","Kepler-51",45.15400000000,4
"Kepler-27 c","Kepler-27",31.33090000000,3
"Kepler-229 d","Kepler-229",41.19491200000,3
"Kepler-30 b","Kepler-30",29.33434000000,3
"Kepler-149 b","Kepler-149",29.19894300000,3
"Kepler-167 b","Kepler-167",4.39315390000,4
"Kepler-9 b","Kepler-9",19.23891000000,3
"Kepler-198 b","Kepler-198",17.79003700000,3
"Kepler-157 c","Kepler-157",13.54050000000,3
"Kepler-30 d","Kepler-30",143.34394000000,3
"Kepler-235 b","Kepler-235",3.34022200000,4
"Kepler-158 b","Kepler-158",16.70918400000,3
"Kepler-80 b","Kepler-80",7.05246000000,6
"Kepler-150 c","Kepler-150",7.38199800000,5
"Kepler-53 b","Kepler-53",18.64895250000,3
"Kepler-238 e","Kepler-238",23.65400000000,5
"Kepler-169 e","Kepler-169",13.76710200000,5
"Kepler-27 b","Kepler-27",15.33480000000,3
