p,M,n,A,B,C,D,B_A,C_A,D_A,BCD_A
13,-3,47,23.024921,0.703896,5.870996,25.692308,0.030571,0.254984,1.115848,1.401403
19,-3,103,63.227350,4.268700,12.859392,74.684211,0.067514,0.203383,1.181201,1.452098
31,-4,279,210.555219,62.005758,39.849404,230.741935,0.294487,0.189259,1.095874,1.579619
43,-3,543,453.155488,112.061628,82.794939,489.465116,0.247292,0.182708,1.080126,1.510126
47,-3,651,557.662900,136.482905,87.396812,612.617021,0.244741,0.156720,1.098544,1.500004
53,-3,831,734.171448,169.611983,121.173460,802.981132,0.231025,0.165048,1.093724,1.489797
71,-3,1495,1387.749750,394.774870,217.163282,1497.422535,0.284471,0.156486,1.079029,1.519986
73,-4,1589,1541.176026,730.405199,261.025793,1543.452055,0.473927,0.169368,1.001477,1.644772
79,-4,1857,1791.381630,705.345333,275.226239,1873.734177,0.393744,0.153639,1.045972,1.593354
83,-4,2061,2063.807704,867.579718,298.649949,2203.795181,0.420378,0.144708,1.067830,1.632916
107,-3,3427,3540.187438,1467.986968,508.391382,3722.420561,0.414664,0.143606,1.051476,1.609745
109,-4,3569,3823.124545,2107.677286,571.600306,3911.688073,0.551297,0.149511,1.023165,1.723974
113,-5,3837,4156.807318,2728.204263,617.898578,4185.699115,0.656322,0.148647,1.006950,1.811920
131,-3,5155,5526.360353,2224.157296,806.646943,5653.213740,0.402463,0.145964,1.022954,1.571381
139,-4,5815,6309.249331,3387.055705,897.198207,6503.676259,0.536840,0.142204,1.030816,1.709860
173,-3,9023,10009.849481,5008.414368,1436.921163,10140.104046,0.500349,0.143551,1.013013,1.656912
179,-3,9655,10708.082752,5064.228442,1468.730296,11164.106145,0.472935,0.137161,1.042587,1.652683
181,-4,9881,11227.907147,7093.458819,1618.358871,11263.878453,0.631770,0.144137,1.003204,1.779111
191,-5,10977,12119.443762,6709.958295,1727.797884,12412.654450,0.553652,0.142564,1.024193,1.720410
193,-6,11231,12717.988003,8843.023128,1861.780905,12648.393782,0.695316,0.146390,0.994528,1.836234
197,-7,11699,13475.858223,10704.410508,1848.263708,13780.517766,0.794340,0.137154,1.022608,1.954101
199,-8,11955,14206.788402,13064.397939,1894.822012,14372.989950,0.919588,0.133374,1.011699,2.064662
271,-3,22205,25908.054486,14530.402162,3644.774693,26356.298893,0.560845,0.140681,1.017301,1.718827
277,-4,23171,26914.975377,19320.324872,3780.169662,27130.620939,0.717828,0.140449,1.008012,1.866289
281,-4,23861,28271.151968,21719.535188,3959.897059,27805.750890,0.768258,0.140068,0.983538,1.891864
283,-6,24233,29400.021907,26308.838889,3921.076838,29814.187279,0.894858,0.133370,1.014087,2.042315
293,-8,25975,31433.690783,29598.676814,4135.991615,32176.539249,0.941623,0.131578,1.023632,2.096833
311,-3,29231,33931.879671,19185.331733,4694.399509,34304.659164,0.565407,0.138348,1.010986,1.714741
313,-4,29637,34965.104593,24766.755577,4898.349974,34947.514377,0.708328,0.140093,0.999497,1.847917
317,-4,30405,36395.436942,26592.125784,4918.301310,37103.880126,0.730644,0.135135,1.019465,1.885245
379,-3,43467,51396.279834,33361.750172,7121.261372,51738.118734,0.649108,0.138556,1.006651,1.794315
389,-3,45817,55082.686330,39502.511112,7396.775730,55987.820051,0.717149,0.134285,1.016432,1.867867
431,-3,56211,66696.304572,34659.084089,9061.605823,68033.060325,0.519655,0.135864,1.020042,1.675561
