orbit_idx,syz_len,topo_class,is_palindrome,half_raw_len,half_reduced_len,half_trace,half_det,log_spectral_radius,cf_period,cf_nobility,raw_entropy,abel_a,abel_b,lyapunov,half_reduced_word
1,10,1,1,4,4,14,1,2.6339157938,2,0.50000000,1.811278,-1,-3,15.4278422502,BABB
2,18,1,1,8,4,14,1,2.6339157938,2,0.50000000,1.543564,-1,-3,18.5497525095,BABB
3,18,2,1,8,4,14,1,2.6339157938,2,0.50000000,1.954434,1,3,18.0091627488,babb
4,22,3,1,8,0,2,1,0.0000000000,,,2.000000,0,0,30.1598253031,
5,26,1,1,12,4,14,1,2.6339157938,2,0.50000000,1.413817,-1,-3,20.2203410856,BABB
6,26,2,1,12,4,14,1,2.6339157938,2,0.50000000,1.979869,1,3,19.4097417880,babb
7,26,3,1,12,12,9602,1,9.1697266782,2,0.50000000,1.918296,-4,-8,35.8650451603,BABBABBABBAB
8,34,1,1,16,4,14,1,2.6339157938,2,0.50000000,1.337290,-1,-3,21.3424903807,BABB
9,34,2,1,16,4,14,1,2.6339157938,2,0.50000000,1.988699,1,3,20.3783951101,babb
10,30,3,1,12,0,2,1,0.0000000000,,,1.918296,0,0,29.4399195578,
11,30,3,1,12,0,2,1,0.0000000000,,,1.918296,0,0,34.6183716441,
12,30,3,1,12,12,9602,1,9.1697266782,2,0.50000000,1.918296,-4,-8,46.2828885685,BABBABBABBAB
13,30,1,1,14,10,1366,1,7.2196415042,,,1.749595,-3,-7,25.6782211235,BABBABBABB
14,30,2,1,14,2,6,1,1.7627471740,1,1.00000000,1.940286,-1,-1,25.7480416235,BA
15,30,2,1,14,2,6,1,1.7627471740,1,1.00000000,1.940286,-1,-1,12.2045812412,BA
16,30,2,1,14,14,56246,1,10.9374902061,2,0.50000000,1.940286,-5,-9,12.1626517120,BABBABBABBABBA
17,34,3,1,16,12,9602,1,9.1697266782,2,0.50000000,1.811278,-4,-8,36.9152071421,BABBABBABBAB
18,42,1,1,20,4,14,1,2.6339157938,2,0.50000000,1.286397,-1,-3,22.1858042621,BABB
19,42,2,1,20,4,14,1,2.6339157938,2,0.50000000,1.992774,1,3,21.1214304854,babb
20,38,3,1,16,0,2,1,0.0000000000,,,1.811278,0,0,39.1771870282,
21,38,3,1,16,0,2,1,0.0000000000,,,1.811278,0,0,41.3110662262,
22,34,2,1,14,2,6,1,1.7627471740,1,1.00000000,1.940286,-1,-1,39.7172699313,BA
23,34,2,1,14,14,56246,1,10.9374902061,2,0.50000000,1.940286,-5,-9,39.3939788427,BABBABBABBABBA
24,34,3,1,16,12,9602,1,9.1697266782,2,0.50000000,1.811278,-4,-8,17.5988533191,BABBABBABBAB
25,34,3,1,14,6,98,1,4.5848633391,2,0.50000000,1.985228,2,4,16.6398528660,babbab
26,34,1,1,16,16,133854,1,11.8045049326,2,0.50000000,1.896038,-5,-11,24.0831021193,BABBABBABBABBABB
27,38,3,1,16,12,9602,1,9.1697266782,2,0.50000000,1.811278,4,8,41.5882995432,babbabbabbab
28,34,1,1,16,4,14,1,2.6339157938,2,0.50000000,1.896038,-1,-3,8.1347932151,BABB
29,38,1,1,16,4,14,1,2.6339157938,2,0.50000000,1.696212,-1,-3,29.1548855555,BABB
30,38,2,1,16,4,14,1,2.6339157938,2,0.50000000,1.988699,1,3,29.2049071874,babb
31,38,2,1,16,8,574,1,6.3526263612,,,1.896038,-3,-5,26.8612678829,BABBABBA
32,38,1,1,16,16,133854,1,11.8045049326,2,0.50000000,1.896038,-5,-11,26.7654654117,BABBABBABBABBABB
33,50,1,1,24,4,14,1,2.6339157938,2,0.50000000,1.249882,-1,-3,22.8608062899,BABB
34,50,2,1,24,4,14,1,2.6339157938,2,0.50000000,1.994985,1,3,21.7250716895,babb
35,38,2,1,16,4,14,1,2.6339157938,2,0.50000000,1.896038,1,3,29.7854456826,babb
36,38,1,1,16,4,14,1,2.6339157938,2,0.50000000,1.896038,-1,-3,29.7829568744,BABB
37,38,1,1,18,10,1366,1,7.2196415042,,,1.650022,-3,-7,29.3737502944,BABBABBABB
38,38,2,1,18,2,6,1,1.7627471740,1,1.00000000,1.964079,-1,-1,16.3246427804,BA
39,38,2,1,18,2,6,1,1.7627471740,1,1.00000000,1.964079,-1,-1,29.1483418028,BA
40,38,2,1,18,2,6,1,1.7627471740,1,1.00000000,1.964079,-1,-1,16.2913810302,BA
41,38,2,1,16,4,14,1,2.6339157938,2,0.50000000,1.896038,1,3,29.9859083031,babb
42,38,1,1,16,4,14,1,2.6339157938,2,0.50000000,1.896038,-1,-3,29.7334030545,BABB
43,38,2,1,18,2,6,1,1.7627471740,1,1.00000000,1.852405,-1,-1,12.9059443400,BA
44,38,2,1,18,2,6,1,1.7627471740,1,1.00000000,1.852405,-1,-1,15.7505952067,BA
45,46,3,1,20,0,2,1,0.0000000000,,,1.721928,0,0,42.8228758735,
46,46,3,1,20,0,2,1,0.0000000000,,,1.721928,0,0,44.5652997604,
47,38,3,1,18,18,940898,1,13.7545900174,2,0.50000000,1.918296,-6,-12,22.1905776826,BABBABBABBABBABBAB
48,42,2,1,18,2,6,1,1.7627471740,1,1.00000000,1.964079,-1,-1,40.5378806591,BA
49,42,2,1,18,14,56246,1,10.9374902061,2,0.50000000,1.964079,-5,-9,40.7975600348,BABBABBABBABBA
50,42,1,1,18,2,6,1,1.7627471740,1,1.00000000,1.852405,1,1,39.9474403887,ba
