q,chi_index,is_primitive,order,is_principal,num_peaks,first_peak,snr,max_peak_height,peaks_matched,peak_positions
1,0,True,1,True,4,14.1746,26.38,279884.0009,3,14.175;21.259;31.134;37.338
3,1,True,2,False,6,33.7082,8.66,301.1309,0,33.708;35.542;42.450;46.110;55.864;58.460
4,1,True,2,False,7,18.3219,7.76,269.6710,0,18.322;32.362;33.936;38.519;44.240;48.020;52.754
5,1,True,4,False,8,27.6542,13.45,436.2244,0,27.654;30.525;35.369;43.129;44.991;46.275;50.770;57.096
5,2,True,2,False,10,9.6166,9.60,335.2643,1,9.617;15.788;19.246;29.686;32.975;39.396;44.262;48.622;53.550;58.643
5,3,True,4,False,6,12.6162,8.77,297.3828,0,12.616;33.763;36.183;42.982;50.906;57.429
6,1,False,2,False,6,33.7082,8.66,301.1309,0,33.708;35.542;42.450;46.110;55.864;58.460
7,1,True,3,False,3,45.4900,7.29,429.8776,0,45.490;52.054;53.781
7,2,True,3,False,3,26.2167,5.58,405.4349,0,26.217;36.326;37.603
7,3,True,2,False,4,13.3239,6.51,376.5504,0,13.324;27.922;42.248;53.293
7,4,True,3,False,6,6.2871,7.27,360.9564,0,6.287;22.825;33.488;44.643;46.344;55.405
7,5,True,3,False,4,34.4306,6.73,507.3577,0,34.431;50.466;54.291;57.914
8,1,True,2,False,11,7.5008,7.69,286.0227,1,7.501;8.898;21.420;22.865;29.062;32.370;36.675;41.159;42.846;46.586
8,2,False,2,False,7,18.3219,7.76,269.6710,0,18.322;32.362;33.936;38.519;44.240;48.020;52.754
8,3,True,2,False,5,16.2061,5.90,286.0803,0,16.206;25.802;38.200;44.126;47.591
9,1,True,6,False,4,12.5758,5.70,302.4866,0,12.576;22.047;26.796;49.260
9,2,True,3,False,5,16.4041,6.04,432.8143,0,16.404;28.688;42.608;45.567;48.636
9,3,False,2,False,6,33.7082,8.66,301.1309,0,33.708;35.542;42.450;46.110;55.864;58.460
9,4,True,3,False,10,7.1671,5.53,261.9138,0,7.167;15.355;18.601;29.125;31.739;33.712;44.386;50.209;53.862;56.718
9,5,True,6,False,5,14.7907,5.28,312.3876,0,14.791;35.454;37.705;45.934;49.667
10,1,False,4,False,6,12.6162,8.77,297.3828,0,12.616;33.763;36.183;42.982;50.906;57.429
10,2,False,2,False,10,9.6166,9.60,335.2643,0,9.617;15.788;19.246;29.686;32.975;39.396;44.262;48.622;53.550;58.643
10,3,False,4,False,8,27.6542,13.45,436.2244,0,27.654;30.525;35.369;43.129;44.991;46.275;50.770;57.096
11,1,True,10,False,4,13.3899,6.09,355.1910,0,13.390;34.893;38.263;57.158
11,2,True,5,False,6,24.2256,5.32,375.4001,0,24.226;28.351;37.474;42.498;46.403;55.475
11,3,True,10,False,5,12.2348,7.49,516.2721,0,12.235;26.206;43.217;45.538;55.878
11,4,True,5,False,7,6.7785,13.09,599.5430,0,6.778;11.311;17.189;21.783;25.091;32.920;45.897
11,5,True,2,False,7,9.3196,6.98,323.0245,0,9.320;19.836;24.559;32.905;35.054;44.053;50.294
11,6,True,5,False,9,35.2263,6.31,340.5422,0,35.226;39.506;42.989;45.134;47.558;49.524;53.466;54.965;57.103
11,7,True,10,False,5,10.3390,8.28,545.4220,0,10.339;12.275;36.143;45.010;50.356
11,8,True,5,False,6,22.8835,5.96,324.3387,0,22.884;29.172;35.512;45.028;49.751;51.005
11,9,True,10,False,4,11.2301,5.84,246.7727,0,11.230;26.363;43.580;49.439
12,1,False,2,False,6,33.7082,8.66,301.1309,0,33.708;35.542;42.450;46.110;55.864;58.460
12,2,False,2,False,7,18.3219,7.76,269.6710,0,18.322;32.362;33.936;38.519;44.240;48.020;52.754
12,3,True,2,False,7,11.3034,5.09,280.2760,0,11.303;28.017;37.559;40.756;43.312;50.899;54.962
13,1,True,12,False,6,10.7681,4.72,285.0964,0,10.768;29.601;34.830;37.096;46.964;49.663
13,2,True,6,False,4,34.0823,4.70,340.5649,0,34.082;39.297;45.736;53.528
13,3,True,4,False,8,7.7612,6.35,238.4651,0,7.761;21.659;35.776;41.398;43.422;49.949;55.508;57.595
13,4,True,3,False,9,9.1949,7.00,346.2429,0,9.195;23.478;38.321;45.285;46.473;47.811;49.777;55.790;59.516
13,5,True,12,False,9,7.4862,7.58,288.1641,0,7.486;9.353;17.677;20.005;25.788;27.177;40.591;42.443;58.541
13,6,True,2,False,7,7.1415,5.67,402.6247,0,7.141;10.581;13.551;38.849;51.218;53.711;55.567
13,7,True,12,False,5,10.4857,6.12,404.4794,0,10.486;20.929;24.757;45.783;51.108
13,8,True,3,False,7,21.4094,7.29,418.4438,0,21.409;28.461;36.616;42.278;45.508;57.664;59.677
13,9,True,4,False,8,11.9855,9.07,343.0819,0,11.985;27.390;31.684;35.608;41.544;44.214;49.766;58.299
13,10,True,6,False,8,9.0373,5.87,385.0011,0,9.037;18.520;23.639;31.933;45.915;47.859;51.273;54.056
13,11,True,12,False,5,24.9260,6.46,287.2524,0,24.926;41.134;47.830;57.529;59.487
14,1,False,6,False,3,45.4900,7.29,429.8776,0,45.490;52.054;53.781
14,2,False,3,False,3,26.2167,5.58,405.4349,0,26.217;36.326;37.603
14,3,False,2,False,4,13.3239,6.51,376.5504,0,13.324;27.922;42.248;53.293
14,4,False,3,False,6,6.2871,7.27,360.9564,0,6.287;22.825;33.488;44.643;46.344;55.405
14,5,False,6,False,4,34.4306,6.73,507.3577,0,34.431;50.466;54.291;57.914
15,1,False,4,False,8,27.6542,13.45,436.2244,0,27.654;30.525;35.369;43.129;44.991;46.275;50.770;57.096
15,2,False,2,False,10,9.6166,9.60,335.2643,0,9.617;15.788;19.246;29.686;32.975;39.396;44.262;48.622;53.550;58.643
15,3,False,4,False,6,12.6162,8.77,297.3828,0,12.616;33.763;36.183;42.982;50.906;57.429
15,4,False,2,False,6,33.7082,8.66,301.1309,0,33.708;35.542;42.450;46.110;55.864;58.460
15,5,True,4,False,5,23.0852,5.48,396.6580,0,23.085;36.858;45.134;50.382;55.523
15,6,True,2,False,6,9.0923,4.81,301.7841,0,9.092;20.859;31.259;41.431;46.751;53.422
15,7,True,4,False,6,18.2009,6.43,470.1967,0,18.201;34.350;42.993;48.471;49.747;58.926
16,1,True,4,False,8,9.8000,7.86,463.5243,0,9.800;20.126;30.712;38.219;47.202;52.024;53.367;58.940
16,2,False,2,False,11,7.5008,7.69,286.0227,0,7.501;8.898;21.420;22.865;29.062;32.370;36.675;41.159;42.846;46.586
16,3,True,4,False,6,22.6305,5.15,552.0517,0,22.631;31.211;42.373;44.819;48.578;56.216
16,4,False,2,False,7,18.3219,7.76,269.6710,0,18.322;32.362;33.936;38.519;44.240;48.020;52.754
16,5,True,4,False,9,21.9191,7.77,510.3950,0,21.919;26.627;29.565;35.116;37.735;46.726;52.233;56.333;58.900
16,6,False,2,False,5,16.2061,5.90,286.0803,0,16.206;25.802;38.200;44.126;47.591
16,7,True,4,False,8,8.4469,7.75,320.3450,0,8.447;14.508;19.968;28.751;31.600;36.557;47.932;58.816
17,1,True,8,False,5,11.0247,6.81,446.7952,0,11.025;15.612;36.352;41.970;51.155
17,2,True,4,False,7,17.0128,6.35,353.9659,0,17.013;21.068;24.897;28.989;43.125;51.232;53.821
17,3,True,8,False,4,28.2519,3.87,263.7500,0,28.252;40.829;47.092;55.677
17,4,True,2,False,7,9.6423,8.19,501.3911,0,9.642;16.994;25.894;37.621;44.742;50.899;56.670
17,5,True,8,False,4,14.0059,6.64,392.7252,0,14.006;22.264;34.856;55.625
17,6,True,4,False,8,8.2562,10.77,699.2033,0,8.256;12.257;14.453;18.329;32.421;34.808;49.865;54.991
17,7,True,8,False,8,12.1175,5.25,286.9452,0,12.117;15.278;22.671;24.585;34.555;54.595;56.821;59.421
17,8,True,2,False,5,16.1804,5.46,352.0433,0,16.180;18.271;27.728;41.805;49.762
17,9,True,8,False,5,5.8177,6.36,317.7860,0,5.818;9.114;29.865;35.168;57.606
17,10,True,4,False,5,24.5593,7.20,475.4459,0,24.559;33.466;38.725;39.975;51.826
17,11,True,8,False,5,29.8837,6.59,389.3533,0,29.884;35.230;47.246;54.687;57.584
17,12,True,2,False,7,10.7681,7.58,446.1472,0,10.768;15.436;28.626;32.377;35.131;38.380;45.461
17,13,True,8,False,11,10.5334,8.98,645.6792,0,10.533;17.834;19.228;24.402;28.824;34.706;41.511;45.365;52.101;55.867
17,14,True,4,False,4,35.6187,4.46,451.1253,0,35.619;49.832;51.269;55.534
17,15,True,8,False,3,35.3584,5.62,462.6662,0,35.358;39.135;50.338
18,1,False,6,False,5,14.7907,5.28,312.3876,0,14.791;35.454;37.705;45.934;49.667
18,2,False,3,False,10,7.1671,5.53,261.9138,0,7.167;15.355;18.601;29.125;31.739;33.712;44.386;50.209;53.862;56.718
18,3,False,2,False,6,33.7082,8.66,301.1309,0,33.708;35.542;42.450;46.110;55.864;58.460
18,4,False,3,False,5,16.4041,6.04,432.8143,0,16.404;28.688;42.608;45.567;48.636
18,5,False,6,False,4,12.5758,5.70,302.4866,0,12.576;22.047;26.796;49.260
19,1,True,18,False,4,17.0055,6.71,497.0703,0,17.005;29.268;45.120;57.202
19,2,True,9,False,7,21.5414,7.00,362.8865,0,21.541;26.785;34.893;37.764;40.804;45.457;59.083
19,3,True,6,False,8,19.8620,10.25,517.6670,0,19.862;22.957;27.012;30.214;33.943;36.447;39.630;55.519
19,4,True,9,False,5,7.5228,6.67,550.6515,0,7.523;16.294;26.675;38.109;53.477
19,5,True,18,False,5,10.3867,6.34,539.3509,0,10.387;24.449;32.146;38.450;47.771
19,6,True,3,False,7,12.8582,4.96,222.8467,0,12.858;14.901;19.844;37.746;43.220;51.357;56.080
19,7,True,18,False,7,14.9630,9.17,515.6588,0,14.963;17.478;25.898;28.054;32.729;42.226;46.847
19,8,True,9,False,5,27.3462,5.71,473.4110,0,27.346;35.593;41.196;49.751;57.892
19,9,True,2,False,7,6.8701,6.60,577.3255,0,6.870;15.660;21.776;25.337;31.574;51.808;55.490
19,10,True,9,False,9,5.6014,6.36,270.5533,0,5.601;16.547;19.902;24.801;25.931;30.760;34.152;38.996;56.487
19,11,True,18,False,6,25.7841,6.37,403.7389,0,25.784;43.811;49.736;51.735;55.875;57.675
19,12,True,3,False,4,23.6462,4.56,423.5309,0,23.646;39.150;51.687;55.468
19,13,True,18,False,7,7.4935,7.48,462.7440,0,7.493;18.535;23.621;29.664;32.718;34.680;44.749
19,14,True,9,False,4,8.2379,8.08,556.0691,0,8.238;14.369;30.639;45.699
19,15,True,6,False,8,13.4266,6.99,387.3882,0,13.427;29.304;31.688;35.967;39.645;42.252;43.378;47.555
19,16,True,9,False,11,5.9607,7.96,310.3107,0,5.961;11.259;19.719;22.205;25.278;27.313;28.765;32.759;41.291;50.275
19,17,True,18,False,3,20.8704,4.44,347.1369,0,20.870;44.632;52.006
20,1,False,4,False,8,27.6542,13.45,436.2244,0,27.654;30.525;35.369;43.129;44.991;46.275;50.770;57.096
20,2,False,2,False,10,9.6166,9.60,335.2643,0,9.617;15.788;19.246;29.686;32.975;39.396;44.262;48.622;53.550;58.643
20,3,False,4,False,6,12.6162,8.77,297.3828,0,12.616;33.763;36.183;42.982;50.906;57.429
20,4,False,2,False,7,18.3219,7.76,269.6710,0,18.322;32.362;33.936;38.519;44.240;48.020;52.754
20,5,True,4,False,6,6.7271,6.13,300.5811,0,6.727;14.952;25.868;27.882;48.262;54.580
20,6,True,2,False,7,7.2955,8.09,491.2796,0,7.295;10.636;21.633;24.871;31.105;39.088;43.228
20,7,True,4,False,2,36.0661,4.94,367.4957,0,36.066;50.275
