p,mertens_p,m_over_sqrt_p,abs_m
2,0,0.0000000000,0
3,-1,-0.5773502692,1
5,-2,-0.8944271910,2
7,-2,-0.7559289460,2
11,-2,-0.6030226892,2
13,-3,-0.8320502943,3
17,-2,-0.4850712501,2
19,-3,-0.6882472016,3
23,-2,-0.4170288281,2
29,-2,-0.3713906764,2
31,-4,-0.7184212081,4
37,-2,-0.3287979746,2
41,-1,-0.1561737619,1
43,-3,-0.4574957110,3
47,-3,-0.4375949745,3
53,-3,-0.4120816918,3
59,-1,-0.1301889110,1
61,-2,-0.2560737599,2
67,-2,-0.2443388887,2
71,-3,-0.3560344975,3
73,-4,-0.4681645888,4
79,-4,-0.4500351604,4
83,-4,-0.4390570400,4
89,-2,-0.2119995760,2
97,1,0.1015346165,1
101,0,0.0000000000,0
103,-2,-0.1970658556,2
107,-3,-0.2900209467,3
109,-4,-0.3831305141,4
113,-5,-0.4703604342,5
127,-2,-0.1774713019,2
131,-3,-0.2621112170,3
137,-2,-0.1708715315,2
139,-4,-0.3392755719,4
149,0,0.0000000000,0
151,-1,-0.0813788459,1
157,-2,-0.1596173769,2
163,0,0.0000000000,0
167,-1,-0.0773823233,1
173,-3,-0.2280857764,3
179,-3,-0.2242305278,3
181,-4,-0.2973176585,4
191,-5,-0.3617873026,5
193,-6,-0.4318894504,6
197,-7,-0.4987293499,7
199,-8,-0.5671049640,8
211,-2,-0.1376856782,2
223,3,0.2008948591,3
227,3,0.1991169935,3
229,2,0.1321637201,2
233,-1,-0.0655121782,1
239,-1,-0.0646846227,1
241,-2,-0.1288313253,2
251,-2,-0.1262388806,2
257,-2,-0.1247565723,2
263,-2,-0.1233252832,2
269,-2,-0.1219421522,2
271,-3,-0.1822370218,3
277,-4,-0.2403367073,4
281,-4,-0.2386199945,4
283,-6,-0.3566629790,6
293,-8,-0.4673649903,8
307,-2,-0.1141460291,2
311,-3,-0.1701143931,3
313,-4,-0.2260933676,4
317,-4,-0.2246623825,4
331,0,0.0000000000,0
337,1,0.0544734711,1
347,2,0.1073656254,2
349,1,0.0535287728,1
353,0,0.0000000000,0
359,-1,-0.0527779814,1
367,-1,-0.0521995751,1
373,-2,-0.1035560746,2
379,-3,-0.1540996491,3
383,-2,-0.1021952261,2
389,-3,-0.1521060380,3
397,1,0.0501885613,1
401,0,0.0000000000,0
409,-1,-0.0494468176,1
419,0,0.0000000000,0
421,-1,-0.0487370179,1
431,-3,-0.1445049153,3
433,-4,-0.1922277325,4
439,-7,-0.3340917719,7
443,-9,-0.4276029043,9
449,-7,-0.3303504247,7
457,-6,-0.2806681618,6
461,-6,-0.2794478597,6
463,-6,-0.2788436474,6
467,-7,-0.3239213694,7
479,-6,-0.2741469974,6
487,-5,-0.2265716272,5
491,-5,-0.2256468412,5
499,-6,-0.2685968886,6
503,-5,-0.2229389810,5
509,-6,-0.2659453243,6
521,-2,-0.0876215909,2
523,-3,-0.1311808408,3
541,0,0.0000000000,0
547,3,0.1282707374,3
557,4,0.1694854394,4
563,4,0.1685799008,4
569,5,0.2096109041,5
571,5,0.2092434877,5
577,4,0.1665221788,4
587,6,0.2476465030,6
593,6,0.2463904687,6
599,4,0.1634355693,4
601,3,0.1223725525,3
607,0,0.0000000000,0
613,-2,-0.0807792392,2
617,-3,-0.1207754523,3
619,-5,-0.2009669678,5
631,-3,-0.1194281143,3
641,-2,-0.0789952506,2
643,-4,-0.1577446013,4
647,-7,-0.2751983969,7
653,-8,-0.3130641921,8
659,-10,-0.3895446936,10
661,-11,-0.4278504129,11
673,-11,-0.4240188395,11
677,-11,-0.4227643431,11
683,-12,-0.4591672391,12
691,-9,-0.3423761356,9
701,-5,-0.1888473937,5
709,-4,-0.1502231532,4
719,-3,-0.1118811211,3
727,-2,-0.0741758942,2
733,-3,-0.1108075283,3
739,-2,-0.0735711893,2
743,-5,-0.1834322096,5
751,-3,-0.1094715548,3
757,-3,-0.1090368546,3
761,-4,-0.1449998867,4
769,-3,-0.1081827669,3
773,-2,-0.0719350001,2
787,-2,-0.0712923006,2
797,-1,-0.0354218173,1
809,1,0.0351581277,1
811,0,0.0000000000,0
821,2,0.0698004813,2
823,0,0.0000000000,0
827,-2,-0.0695468142,2
829,-3,-0.1041943067,3
839,-3,-0.1035715020,3
853,0,0.0000000000,0
857,-2,-0.0683186986,2
859,-2,-0.0682391194,2
863,-3,-0.1021211876,3
877,0,0.0000000000,0
881,1,0.0336908560,1
883,0,0.0000000000,0
887,-1,-0.0335767139,1
907,-1,-0.0332044550,1
911,-1,-0.0331314781,1
919,0,0.0000000000,0
929,3,0.0984268072,3
937,4,0.1306743041,4
941,3,0.0977972050,3
947,1,0.0324956337,1
953,2,0.0647863548,2
967,4,0.1286313283,4
971,1,0.0320915272,1
977,2,0.0639856688,2
983,2,0.0637900932,2
991,1,0.0317660469,1
997,1,0.0316703178,1
1009,1,0.0314814275,1
1013,0,0.0000000000,0
1019,-1,-0.0313265745,1
1021,-2,-0.0625917544,2
1031,-5,-0.1557186650,5
1033,-6,-0.1866814174,6
1039,-8,-0.2481888194,8
1049,-5,-0.1543768803,5
1051,-6,-0.1850759095,6
1061,-5,-0.1535013900,5
1063,-6,-0.1840283016,6
1069,-8,-0.2446815001,8
1087,-8,-0.2426471613,8
1091,-10,-0.3027524210,10
1093,-11,-0.3327228322,11
1097,-12,-0.3623080072,12
1103,-12,-0.3613212382,12
1109,-15,-0.4504281102,15
1117,-13,-0.3889705901,13
1123,-12,-0.3580893196,12
1129,-12,-0.3571365304,12
1151,-6,-0.1768534713,6
1153,-7,-0.2061500224,7
1163,-6,-0.1759387058,6
1171,-5,-0.1461139080,5
1181,-6,-0.1745927886,6
1187,-8,-0.2322012897,8
1193,-6,-0.1737124832,6
1201,-5,-0.1442774642,5
1213,-2,-0.0574248137,2
1217,-2,-0.0573303650,2
1223,-3,-0.0857843424,3
1229,-2,-0.0570497905,2
1231,-2,-0.0570034274,2
1237,-3,-0.0852975201,3
1249,-3,-0.0848867752,3
1259,-1,-0.0281829944,1
1277,1,0.0279836623,1
1279,0,0.0000000000,0
1283,-1,-0.0279181523,1
1289,0,0.0000000000,0
1291,0,0.0000000000,0
1297,0,0.0000000000,0
1301,-1,-0.0277243487,1
1303,-1,-0.0277030632,1
1307,-1,-0.0276606388,1
1319,-1,-0.0275345258,1
1321,-2,-0.0550273485,2
1327,-1,-0.0274514026,1
1361,6,0.1626380609,6
1367,7,0.1893275360,7
1373,6,0.1619257740,6
1381,4,0.1076373884,4
1399,8,0.2138853948,8
1409,9,0.2397656770,9
1423,11,0.2916018233,11
1427,9,0.2382486908,9
1429,8,0.2116283630,8
1433,8,0.2113327925,8
1439,7,0.1845302810,7
1447,4,0.1051539826,4
1451,3,0.0787567069,3
1453,2,0.0524683236,2
1459,2,0.0523603269,2
1471,3,0.0782194789,3
1481,3,0.0779549551,3
1483,3,0.0779023716,3
1487,3,0.0777975231,3
1489,2,0.0518301716,2
1493,-1,-0.0258803471,1
1499,-3,-0.0774854997,3
1511,-3,-0.0771772008,3
1523,0,0.0000000000,0
1531,0,0.0000000000,0
1543,0,0.0000000000,0
1549,-2,-0.0508164458,2
1553,-4,-0.1015019214,4
1559,-4,-0.1013064119,4
1567,-3,-0.0757856110,3
1571,-4,-0.1009187584,4
1579,-4,-0.1006627814,4
1583,-7,-0.1759371622,7
1597,-5,-0.1251173526,5
1601,-8,-0.1999375293,8
1607,-10,-0.2494549129,10
1609,-11,-0.2742298102,11
1613,-11,-0.2738895746,11
1619,-13,-0.3230873305,13
1621,-14,-0.3477254904,14
1627,-14,-0.3470837325,14
1637,-16,-0.3954536997,16
1657,-10,-0.2456624313,10
1663,-11,-0.2697407499,11
1667,-12,-0.2939093797,12
1669,-13,-0.3182109968,13
1693,-9,-0.2187328594,9
1697,-11,-0.2670249018,11
1699,-13,-0.3153890877,13
1709,-13,-0.3144650040,13
1721,-9,-0.2169462134,9
1723,-9,-0.2168202649,9
1733,-9,-0.2161937965,9
1741,-9,-0.2156965128,9
1747,-11,-0.2631759702,11
1753,-12,-0.2866093063,12
1759,-12,-0.2861200724,12
1777,-7,-0.1660559059,7
1783,-7,-0.1657762718,7
1787,-8,-0.1892464366,8
1789,-9,-0.2127832016,9
1801,-7,-0.1649457704,7
1811,-7,-0.1644897403,7
1823,-3,-0.0702631993,3
1831,-3,-0.0701095343,3
1847,-2,-0.0465368034,2
1861,0,0.0000000000,0
1867,-1,-0.0231434362,1
1871,-2,-0.0462373677,2
1873,-3,-0.0693190123,3
1877,-3,-0.0692451114,3
1879,-5,-0.1153470825,5
1889,-7,-0.1610579107,7
1901,-4,-0.0917421541,4
1907,-5,-0.1144971450,5
1913,-6,-0.1371809371,6
1931,-2,-0.0455133559,2
1933,-3,-0.0682347065,3
1949,2,0.0453026989,2
1951,1,0.0226397364,1
1973,4,0.0900526399,4
1979,4,0.0899160239,4
1987,6,0.1346022491,6
1993,5,0.1119995699,5
1997,6,0.1342648151,6
1999,5,0.1118313602,5
2003,4,0.0893757124,4
2011,4,0.0891977616,4
2017,0,0.0000000000,0
2027,2,0.0444225128,2
2029,1,0.0222003068,1
2039,2,0.0442916014,2
2053,8,0.1765612978,8
2063,7,0.1541162475,7
2069,5,0.1099233003,5
2081,7,0.1534482712,7
2083,5,0.1095532761,5
2087,2,0.0437792958,2
2089,1,0.0218791668,1
2099,0,0.0000000000,0
2111,1,0.0217648603,1
2113,0,0.0000000000,0
2129,2,0.0433453152,2
2131,2,0.0433249700,2
2137,-1,-0.0216320530,1
2141,-2,-0.0432236723,2
2143,-3,-0.0648052468,3
2153,-2,-0.0431030479,2
2161,-2,-0.0430231904,2
