p,N,T_total,T_low,T_mid,T_high,M_N_2,M_N_3,M_N_4,M_N_5,M_N_6,M_N_7,M_N_8,M_N_9,M_N_10,M_N_11,M_N_12,M_N_13,M_N_14,M_N_15,M_N_16,M_N_17,M_N_18,M_N_19,M_N_20,sqrtN
13,12,-0.4301226551,-0.6043650794,0.0000000000,0.1742424242,-1,-1,-1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3
19,18,-1.2838601758,-1.8500000000,0.0000000000,0.5661398242,-2,-1,-1,-1,-1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,4
43,42,-2.8951782247,-3.2539682540,0.0000000000,0.3587900293,-2,-2,-1,-2,-2,-1,-2,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,6
47,46,-2.9886110361,-3.2817460317,0.0000000000,0.2931349956,-2,-1,-2,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,0,0,0,0,0,6
53,52,-3.1098965421,-3.2829365079,0.0000000000,0.1730399658,-1,-2,-3,-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,0,0,0,7
71,70,-3.5660322653,-3.2150793651,0.0000000000,-0.3509529002,-1,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2,-2,-1,-1,-1,-1,-1,-1,8
107,106,-4.7811736698,-3.6567460317,0.0000000000,-1.1244276381,-3,-1,-1,-2,-2,-1,-3,-2,-1,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,10
131,130,-4.8129288142,-3.4662698413,-0.1818181818,-1.1648407911,0,-3,-4,-1,-2,-2,-1,-2,-3,-2,-1,-1,-2,-2,-2,-2,-2,-1,-1,11
173,172,-5.6315632572,-3.7190476190,-0.4883449883,-1.4241706498,-2,-1,-3,-2,-1,-2,-2,-3,-2,-1,-2,-3,-2,-2,-1,-1,-2,-2,-2,13
179,178,-5.6039116978,-3.5607142857,-0.4883449883,-1.5548524237,-2,-1,-3,-1,-2,-2,-1,-3,-2,-1,-2,-3,-2,-2,-2,-1,-2,-2,-2,13
