p,mertens_p,m_over_sqrt_p,cross_term_handoff
2,0,0.000000000000,1.000000000000000000e+00
3,-1,-0.577350269190,1.000000000000000000e+00
5,-2,-0.894427191000,1.111111111111111111e+00
7,-2,-0.755928946018,1.450000000000000000e+00
11,-2,-0.603022689156,1.763888888888888889e+00
13,-3,-0.832050294338,6.480519480519480515e-01
17,-2,-0.485071250073,2.304939504939504944e+00
19,-3,-0.688247201612,-1.134350208614914486e+00
23,-2,-0.417028828114,-1.505020249215295620e-01
29,-2,-0.371390676354,-5.817637781321991890e+00
31,-4,-0.718421208107,-3.000287898500431170e+01
37,-2,-0.328797974611,-1.215997671362067902e+01
41,-1,-0.156173761889,-2.203769768912270179e+00
43,-3,-0.457495710998,-5.503081387489395727e+01
47,-3,-0.437594974494,-6.724145273005871606e+01
53,-3,-0.412081691846,-8.380599125503316593e+01
59,-1,-0.130188910981,-3.911229111128467124e+01
61,-2,-0.256073759866,-1.163943831064068939e+02
67,-2,-0.244338888713,-1.298981532931847454e+02
71,-3,-0.356034497458,-1.963874350718474837e+02
73,-4,-0.468164588785,-3.642025992650252403e+02
79,-4,-0.450035160370,-3.516726665097269156e+02
83,-4,-0.439057039959,-4.327898589689171190e+02
89,-2,-0.211999576001,-3.496679149071766451e+02
97,1,0.101534616513,4.856281841479357421e+01
101,0,0.000000000000,-1.412383574323210773e+02
103,-2,-0.197065855633,-4.634292117594852776e+02
107,-3,-0.290020946714,-7.329934838344207386e+02
109,-4,-0.383130514088,-1.052838643136071635e+03
113,-5,-0.470360434192,-1.363102131378819794e+03
127,-2,-0.177471301883,-7.653679198509055311e+02
131,-3,-0.262111216998,-1.111078647911670865e+03
137,-2,-0.170871531543,-1.019016488851778417e+03
139,-4,-0.339275571872,-1.692527852271868702e+03
149,0,0.000000000000,-5.904662973967204798e+02
151,-1,-0.081378845877,-1.189126989768825783e+03
157,-2,-0.159617376894,-1.578805178255082669e+03
163,0,0.000000000000,-9.709739315001068716e+02
167,-1,-0.077382323253,-1.559208339634279374e+03
173,-3,-0.228085776381,-2.503207184160799293e+03
179,-3,-0.224230527826,-2.531114221205941160e+03
181,-4,-0.297317658499,-3.545729409290995398e+03
191,-5,-0.361787302646,-3.353979147540223736e+03
193,-6,-0.431889450449,-4.420511563786071432e+03
197,-7,-0.498729349915,-5.351205253795218549e+03
199,-8,-0.567104964007,-6.531198969336059262e+03
211,-2,-0.137685678164,-3.653114058850641107e+03
223,3,0.200894859055,3.767579259619371786e+02
227,3,0.199116993480,-2.280335977293051866e+02
229,2,0.132163720091,-1.395750111704619565e+03
233,-1,-0.065512178208,-4.111471723546056930e+03
239,-1,-0.064684622735,-3.980084412291590223e+03
241,-2,-0.128831325280,-5.603915518819396635e+03
251,-2,-0.126238880620,-4.731556788903823371e+03
257,-2,-0.124756572310,-5.300889616911453884e+03
263,-2,-0.123325283196,-5.507338491564991178e+03
269,-2,-0.121942152170,-5.461435955908193969e+03
271,-3,-0.182237021769,-7.264201081081607505e+03
277,-4,-0.240336707250,-9.659162436087514335e+03
281,-4,-0.238619994509,-1.085876759414369404e+04
283,-6,-0.356662978967,-1.315341944449228716e+04
293,-8,-0.467364990270,-1.479833840715200648e+04
307,-2,-0.114146029107,-7.074203696634604984e+03
311,-3,-0.170114393137,-9.591665866724888717e+03
313,-4,-0.226093367578,-1.238237778850357981e+04
317,-4,-0.224662382521,-1.329506289184390275e+04
331,0,0.000000000000,-6.116980995015917816e+03
337,1,0.054473471070,-4.102074842033102165e+03
347,2,0.107365625419,-3.254806699750742335e+03
349,1,0.053528772757,-6.410389247448341256e+03
353,0,0.000000000000,-1.000108755206442934e+04
359,-1,-0.052777981397,-1.119938890172425857e+04
367,-1,-0.052199575097,-1.252900062191199104e+04
373,-2,-0.103556074616,-1.433882230637878581e+04
379,-3,-0.154099649081,-1.667987508596145784e+04
383,-2,-0.102195226062,-1.697577942892213576e+04
389,-3,-0.152106037969,-1.975025555610969967e+04
397,1,0.050188561323,-1.260252927521823907e+04
