p,M(p),delta_w,verified,method,margin_or_dw
11,-2,-1.224873317896585e-03,PASS,exact+wobble,1.224873317896585e-03
13,-3,-2.655064212943755e-03,PASS,exact+wobble,2.655064212943755e-03
17,-2,-1.355658651887564e-03,PASS,exact+wobble,1.355658651887564e-03
19,-3,-1.952390784932624e-03,PASS,exact+wobble,1.952390784932624e-03
23,-2,-1.020083032458102e-03,PASS,exact+wobble,1.020083032458102e-03
29,-2,-8.051700918072138e-04,PASS,exact+wobble,8.051700918072138e-04
31,-4,-1.278179727585902e-03,PASS,exact+wobble,1.278179727585902e-03
37,-2,-6.014341211411679e-04,PASS,exact+wobble,6.014341211411679e-04
41,-1,-3.706659480937572e-04,PASS,exact+wobble,3.706659480937572e-04
43,-3,-6.754801534904539e-04,PASS,exact+wobble,6.754801534904539e-04
47,-3,-5.739577469320301e-04,PASS,exact+wobble,5.739577469320301e-04
53,-3,-4.612032832020350e-04,PASS,exact+wobble,4.612032832020350e-04
59,-1,-2.153116299224564e-04,PASS,exact+wobble,2.153116299224564e-04
61,-2,-3.484068379348204e-04,PASS,exact+wobble,3.484068379348204e-04
67,-2,-2.767080066722587e-04,PASS,exact+wobble,2.767080066722587e-04
71,-3,-2.946282750720137e-04,PASS,exact+wobble,2.946282750720137e-04
73,-4,-3.601795846721644e-04,PASS,exact+wobble,3.601795846721644e-04
79,-4,-2.838836126155273e-04,PASS,exact+wobble,2.838836126155273e-04
83,-4,-2.844271419651387e-04,PASS,exact+wobble,2.844271419651387e-04
89,-2,-1.906690211514479e-04,PASS,exact+wobble,1.906690211514479e-04
103,-2,-1.462688124986072e-04,PASS,exact+wobble,1.462688124986072e-04
107,-3,-1.729367153860146e-04,PASS,exact+wobble,1.729367153860146e-04
109,-4,-2.047169947406282e-04,PASS,exact+wobble,2.047169947406282e-04
113,-5,-2.164207111373263e-04,PASS,exact+wobble,2.164207111373263e-04
127,-2,-9.914760857516417e-05,PASS,exact+wobble,9.914760857516417e-05
131,-3,-1.130511685791839e-04,PASS,exact+wobble,1.130511685791839e-04
137,-2,-9.496665016728561e-05,PASS,exact+wobble,9.496665016728561e-05
139,-4,-1.263799996044294e-04,PASS,exact+wobble,1.263799996044294e-04
151,-1,-7.392009894501310e-05,PASS,exact+wobble,7.392009894501310e-05
157,-2,-7.913433931036953e-05,PASS,exact+wobble,7.913433931036953e-05
167,-1,-6.320870669250175e-05,PASS,exact+wobble,6.320870669250175e-05
173,-3,-7.777343228322804e-05,PASS,exact+wobble,7.777343228322804e-05
179,-3,-7.228394584168300e-05,PASS,exact+wobble,7.228394584168300e-05
181,-4,-8.642034602585405e-05,PASS,exact+wobble,8.642034602585405e-05
191,-5,-7.001471219248052e-05,PASS,exact+wobble,7.001471219248052e-05
193,-6,-8.150527339046603e-05,PASS,exact+wobble,8.150527339046603e-05
197,-7,-9.087031321510777e-05,PASS,exact+wobble,9.087031321510777e-05
199,-8,-1.024095576233172e-04,PASS,exact+wobble,1.024095576233172e-04
211,-2,-5.148015487049101e-05,PASS,exact+wobble,5.148015487049101e-05
233,-1,-3.976500073227121e-05,PASS,exact+wobble,3.976500073227121e-05
239,-1,-3.614279248806071e-05,PASS,exact+wobble,3.614279248806071e-05
241,-2,-4.461410101578526e-05,PASS,exact+wobble,4.461410101578526e-05
251,-2,-3.508107590185789e-05,PASS,exact+wobble,3.508107590185789e-05
257,-2,-3.511040901837872e-05,PASS,exact+wobble,3.511040901837872e-05
263,-2,-3.320469791477437e-05,PASS,exact+wobble,3.320469791477437e-05
269,-2,-3.014866935966516e-05,PASS,exact+wobble,3.014866935966516e-05
271,-3,-3.686889031228029e-05,PASS,exact+wobble,3.686889031228029e-05
277,-4,-4.241134926675312e-05,PASS,exact+wobble,4.241134926675312e-05
281,-4,-4.326450839346697e-05,PASS,exact+wobble,4.326450839346697e-05
283,-6,-5.098974121953408e-05,PASS,exact+wobble,5.098974121953408e-05
293,-8,-4.997065381621719e-05,PASS,exact+wobble,4.997065381621719e-05
307,-2,-2.333346912982326e-05,PASS,exact+wobble,2.333346912982326e-05
311,-3,-2.779113732535193e-05,PASS,exact+wobble,2.779113732535193e-05
313,-4,-3.305397168316179e-05,PASS,exact+wobble,3.305397168316179e-05
317,-4,-3.413812086122702e-05,PASS,exact+wobble,3.413812086122702e-05
359,-1,-1.893992677966380e-05,PASS,exact+wobble,1.893992677966380e-05
367,-1,-1.901007071754778e-05,PASS,exact+wobble,1.901007071754778e-05
373,-2,-2.019054547261283e-05,PASS,exact+wobble,2.019054547261283e-05
379,-3,-2.123657391674637e-05,PASS,exact+wobble,2.123657391674637e-05
383,-2,-2.065793578008178e-05,PASS,exact+wobble,2.065793578008178e-05
389,-3,-2.239185686431417e-05,PASS,exact+wobble,2.239185686431417e-05
409,-1,-1.617140920379405e-05,PASS,exact+wobble,1.617140920379405e-05
421,-1,-1.393081686474934e-05,PASS,exact+wobble,1.393081686474934e-05
431,-3,-1.404445022211626e-05,PASS,exact+wobble,1.404445022211626e-05
433,-4,-1.668554152114087e-05,PASS,exact+wobble,1.668554152114087e-05
439,-7,-1.922966452679899e-05,PASS,exact+wobble,1.922966452679899e-05
443,-9,-2.292578934716362e-05,PASS,exact+wobble,2.292578934716362e-05
449,-7,-2.022472776702926e-05,PASS,exact+wobble,2.022472776702926e-05
457,-6,-1.807316621675213e-05,PASS,exact+wobble,1.807316621675213e-05
461,-6,-1.933667592604821e-05,PASS,exact+wobble,1.933667592604821e-05
463,-6,-2.093332455295992e-05,PASS,exact+wobble,2.093332455295992e-05
467,-7,-2.282408682089212e-05,PASS,exact+wobble,2.282408682089212e-05
479,-6,-1.852082090398753e-05,PASS,exact+wobble,1.852082090398753e-05
487,-5,-1.648120737482873e-05,PASS,exact+wobble,1.648120737482873e-05
491,-5,-1.675053529508414e-05,PASS,exact+wobble,1.675053529508414e-05
499,-6,-1.689336614764587e-05,PASS,exact+wobble,1.689336614764587e-05
503,-5,-1.616407935461483e-05,PASS,exact+wobble,1.616407935461483e-05
509,-6,-1.656481241152342e-05,PASS,exact+wobble,1.656481241152342e-05
521,-2,-1.120719718781063e-05,PASS,exact+wobble,1.120719718781063e-05
523,-3,-1.323892490040718e-05,PASS,exact+wobble,1.323892490040718e-05
613,-2,-8.336797344195507e-06,PASS,exact+wobble,8.336797344195507e-06
617,-3,-9.820970376385376e-06,PASS,exact+wobble,9.820970376385376e-06
619,-5,-1.159097883993913e-05,PASS,exact+wobble,1.159097883993913e-05
631,-3,-9.353168719883147e-06,PASS,exact+wobble,9.353168719883147e-06
641,-2,-7.995932768056703e-06,PASS,exact+wobble,7.995932768056703e-06
643,-4,-9.652556940181224e-06,PASS,exact+wobble,9.652556940181224e-06
647,-7,-1.232225150237431e-05,PASS,exact+wobble,1.232225150237431e-05
653,-8,-1.270260924338823e-05,PASS,exact+wobble,1.270260924338823e-05
659,-10,-1.326372916252096e-05,PASS,exact+wobble,1.326372916252096e-05
661,-11,-1.421731249804563e-05,PASS,exact+wobble,1.421731249804563e-05
673,-11,-1.306003797433241e-05,PASS,exact+wobble,1.306003797433241e-05
677,-11,-1.342994695982189e-05,PASS,exact+wobble,1.342994695982189e-05
683,-12,-1.358882941662070e-05,PASS,exact+wobble,1.358882941662070e-05
691,-9,-1.146635792210419e-05,PASS,exact+wobble,1.146635792210419e-05
701,-5,-8.589116014985089e-06,PASS,exact+wobble,8.589116014985089e-06
709,-4,-7.814722901931543e-06,PASS,exact+wobble,7.814722901931543e-06
719,-3,-6.684748085722132e-06,PASS,exact+wobble,6.684748085722132e-06
727,-2,-5.595544998325173e-06,PASS,exact+wobble,5.595544998325173e-06
733,-3,-6.250606118149774e-06,PASS,exact+wobble,6.250606118149774e-06
739,-2,-5.893626175580442e-06,PASS,exact+wobble,5.893626175580442e-06
743,-5,-7.999582210140954e-06,PASS,exact+wobble,7.999582210140954e-06
751,-3,-6.806474542673320e-06,PASS,exact+wobble,6.806474542673320e-06
757,-3,-6.633683063383229e-06,PASS,exact+wobble,6.633683063383229e-06
761,-4,-7.644611300739205e-06,PASS,exact+wobble,7.644611300739205e-06
769,-3,-6.557355033133669e-06,PASS,exact+wobble,6.557355033133669e-06
773,-2,-6.252374709032676e-06,PASS,exact+wobble,6.252374709032676e-06
787,-2,-5.079628374409645e-06,PASS,exact+wobble,5.079628374409645e-06
797,-1,-3.649001804998308e-06,PASS,exact+wobble,3.649001804998308e-06
827,-2,-4.679018297708455e-06,PASS,exact+wobble,4.679018297708455e-06
829,-3,-5.472490585153628e-06,PASS,exact+wobble,5.472490585153628e-06
839,-3,-5.178930115526154e-06,PASS,exact+wobble,5.178930115526154e-06
857,-2,-4.637491648609997e-06,PASS,exact+wobble,4.637491648609997e-06
859,-2,-5.126616976453588e-06,PASS,exact+wobble,5.126616976453588e-06
863,-3,-5.992913931270310e-06,PASS,exact+wobble,5.992913931270310e-06
887,-1,-5.753258458978771e-06,PASS,exact+wobble,5.753258458978771e-06
907,-1,-3.996471305439480e-06,PASS,exact+wobble,3.996471305439480e-06
911,-1,-4.097568347956587e-06,PASS,exact+wobble,4.097568347956587e-06
1019,-1,-3.261393117304722e-06,PASS,exact+wobble,3.261393117304722e-06
1021,-2,-3.698717677092346e-06,PASS,exact+wobble,3.698717677092346e-06
