N,wobble,farey_size,is_prime,delta_w,mertens,mu
1,2.500000000000000e-01,2,0,0.000000000000000e+00,1,1
2,1.388888888888889e-01,3,1,1.111111111111111e-01,0,-1
3,7.222222222222219e-02,5,1,6.666666666666674e-02,-1,-1
4,4.960317460317462e-02,7,0,2.261904761904757e-02,-1,0
5,3.661616161616160e-02,11,1,1.298701298701302e-02,-2,-1
6,2.970085470085467e-02,13,0,6.915306915306930e-03,-1,1
7,2.696324143692566e-02,19,1,2.737613263929014e-03,-2,-1
8,2.407694962042788e-02,23,0,2.886291816497775e-03,-2,0
9,2.232941069147967e-02,29,0,1.747538928948217e-03,-2,0
10,2.030423280423279e-02,33,0,2.025177887246873e-03,-1,1
11,2.152910612212938e-02,43,1,-1.224873317896585e-03,-2,-1
12,1.810135294177848e-02,47,0,3.427753180350900e-03,-2,0
13,2.075641715472223e-02,59,1,-2.655064212943755e-03,-3,-1
14,1.865246576785036e-02,65,0,2.103951386871875e-03,-2,1
15,1.664601887204628e-02,73,0,2.006446895804075e-03,-1,1
16,1.583813134739061e-02,81,0,8.078875246556698e-04,-1,0
17,1.719378999927818e-02,97,1,-1.355658651887564e-03,-2,-1
18,1.568138629460732e-02,103,0,1.512403704670855e-03,-2,0
19,1.763377707953995e-02,121,1,-1.952390784932624e-03,-3,-1
20,1.583923374234052e-02,129,0,1.794543337199424e-03,-3,0
21,1.420423013409312e-02,141,0,1.635003608247405e-03,-2,1
22,1.375564500718275e-02,151,0,4.485851269103655e-04,-1,1
23,1.477572803964085e-02,173,1,-1.020083032458102e-03,-2,-1
24,1.359679837500536e-02,181,0,1.178929664635496e-03,-2,0
25,1.355445597970104e-02,201,0,4.234239530431956e-05,-2,0
26,1.334330494910512e-02,213,0,2.111510305959213e-04,-1,1
27,1.297437592734878e-02,231,0,3.689290217563385e-04,-1,0
28,1.195821223071718e-02,243,0,1.016163696631604e-03,-1,0
29,1.276338232252439e-02,271,1,-8.051700918072138e-04,-2,-1
30,1.193623688620671e-02,279,0,8.271454363176830e-04,-3,-1
31,1.321441661379261e-02,309,1,-1.278179727585902e-03,-4,-1
32,1.285945349963759e-02,325,0,3.549631141550220e-04,-4,0
33,1.183201080997410e-02,345,0,1.027442689663483e-03,-3,1
34,1.142927991592793e-02,361,0,4.027308940461761e-04,-2,1
35,1.070047006561933e-02,385,0,7.288098503085965e-04,-1,1
36,1.010820132133190e-02,397,0,5.922687442874285e-04,-1,0
37,1.070963544247307e-02,433,1,-6.014341211411679e-04,-2,-1
38,1.064109281119478e-02,451,0,6.854263127828615e-05,-1,1
39,1.039546743697247e-02,475,0,2.456253742223104e-04,0,1
40,9.851174510050584e-03,491,0,5.442929269218900e-04,0,0
41,1.022184045814434e-02,531,1,-3.706659480937572e-04,-1,-1
42,9.565085443900605e-03,543,0,6.567550142437366e-04,-2,-1
43,1.024056559739106e-02,585,1,-6.754801534904539e-04,-3,-1
44,9.748448686503885e-03,605,0,4.921169108871738e-04,-3,0
45,9.181544680225204e-03,629,0,5.669040062786807e-04,-3,0
46,8.993402456866533e-03,651,0,1.881422233586706e-04,-2,1
47,9.567360203798564e-03,697,1,-5.739577469320301e-04,-3,-1
48,9.190358171654976e-03,713,0,3.770020321435877e-04,-3,0
49,9.165194055249348e-03,755,0,2.516411640562759e-05,-3,0
50,8.889939074567319e-03,775,0,2.752549806820295e-04,-3,0
51,8.508165417195464e-03,807,0,3.817736573718550e-04,-2,1
52,8.237270530185992e-03,831,0,2.708948870094718e-04,-2,0
