  ***   Warning: new maximum stack size = 16000008192 (15258.797 Mbytes).
  ***   Warning: new stack size = 2000000000 (1907.349 Mbytes).
# zp_z2=-0.569960993094532806399864360020  zpp_z2=1.20933736761282995861895949676  G_univ=-0.884481833963523885196536153871

curve,Ncond,LpL,LppL,K2_good,K2_mult,K2_add,G_curve,B_f,a2_over_a4
11a1,11,0.19740978,-0.38648655,-37.75824753,1.39754556,0.00000000,-1.08204297,2.11437204,-23.25173620
14a1,14,0.03316860,-0.27913574,-36.04528781,1.78786661,0.00000000,-1.12642685,2.22459408,-11.18305463
15a1,15,0.03774248,-0.15016509,-36.32640701,2.05297010,0.00000000,-0.99250032,2.29777285,-5.34636393
17a1,17,0.04725126,0.06288145,-37.78019356,1.31307465,0.00000000,-0.76928473,1.92178965,-35.33146478
19a1,19,-0.08646192,0.05476704,-37.40327294,1.27878383,0.00000000,-0.93700481,1.77789768,-43.15362983
20a1,20,0.31974577,-0.27764350,-35.74309660,1.22319269,2.13534673,-0.89523816,2.53617214,18.65495958
21a1,21,-0.14283573,0.13775082,-35.80983124,2.19057468,0.00000000,-0.93202710,2.09219376,-18.99817389
24a1,24,0.15758145,-0.31316627,-35.66669721,0.82977741,2.13534673,-1.04056306,2.38042123,4.33597404
100a1,100,0.31974577,-0.27764350,-35.74309660,0.00000000,6.29510127,-0.89523816,2.53617214,24.52808329
106c1,106,-0.46655669,1.73570628,-34.93291095,1.29739790,0.00000000,0.09494165,1.55515395,-46.80197783
200a1,200,-0.21163870,-0.02545838,-35.20474981,0.00000000,6.29510127,-1.19905349,2.00478767,-15.91044326
221a1,221,-1.17619180,3.57486763,-34.53366730,2.68928676,0.00000000,-0.05087402,0.88155726,-61.34890457
240a1,240,-0.50712979,1.31445936,-33.59962826,2.05297010,2.13534673,-0.41264961,1.98394964,-16.66896211
496b1,496,-0.20991622,1.42607533,-34.20809332,1.09400925,2.13534673,0.25519481,1.84558259,-26.75752575
510a1,510,-0.81814799,2.89230260,-31.35440070,3.79311409,0.00000000,0.39395895,1.83033218,-20.50250350
5005b1,5005,-0.68718586,3.72795775,-31.64939316,5.35774762,0.00000000,1.57794262,1.92446549,-10.12468365
