  ***   Warning: new maximum stack size = 16000008192 (15258.797 Mbytes).
  ***   Warning: new stack size = 2000000000 (1907.349 Mbytes).
# zeta-cumulant (zpp/z - (zp/z)^2) at s=2 = 0.884481833963523885196536153871

curve,Ncond,LpL,LppL,L_cumulant,k2_good,k2_mult,k2_add,kappa2_total,B_f,a2_over_a4,delta_2
11a1,11,0.197410,-0.386487,-0.425457,-43.851120,1.397546,0.000000,-41.994550,2.114372,-238.516349,-250.516349
14a1,14,0.033169,-0.279136,-0.280236,-42.427784,1.787867,0.000000,-40.035671,2.224594,-225.216244,-237.216244
15a1,15,0.037742,-0.150165,-0.151590,-42.402385,2.052970,0.000000,-39.616523,2.297773,-221.593852,-233.593852
17a1,17,0.047251,0.062881,0.060649,-43.527357,1.313075,0.000000,-41.269152,1.921790,-236.516735,-248.516735
19a1,19,-0.086462,0.054767,0.047291,-43.671820,1.278784,0.000000,-41.461263,1.777898,-239.136831,-251.136831
20a1,20,0.319746,-0.277644,-0.379881,-41.950677,1.223193,2.135347,-38.087537,2.536172,-208.366273,-220.366273
21a1,21,-0.142836,0.137751,0.117349,-42.184880,2.190575,0.000000,-38.992475,2.092194,-220.797526,-232.797526
24a1,24,0.157581,-0.313166,-0.337998,-41.918638,0.829777,2.135347,-38.407030,2.380421,-213.008805,-225.008805
100a1,100,0.319746,-0.277644,-0.379881,-41.950677,0.000000,6.295101,-35.150975,2.536172,-190.746902,-202.746902
106c1,106,-0.466557,1.735706,1.518031,-41.136758,1.297398,0.000000,-37.436847,1.555154,-216.771905,-228.771905
200a1,200,-0.211639,-0.025458,-0.070249,-41.367828,0.000000,6.295101,-34.258494,2.004788,-193.493373,-205.493373
221a1,221,-1.176192,3.574868,2.191440,-40.435835,2.689287,0.000000,-34.670626,0.881557,-201.939582,-213.939582
240a1,240,-0.507130,1.314459,1.057279,-39.386194,2.052970,2.135347,-33.256116,1.983950,-187.727757,-199.727757
496b1,496,-0.209916,1.426075,1.382011,-40.783983,1.094009,2.135347,-35.288135,1.845583,-201.438749,-213.438749
510a1,510,-0.818148,2.892303,2.222936,-37.893059,3.793114,0.000000,-30.992526,1.830332,-175.818449,-187.818449
5005b1,5005,-0.687186,3.727958,3.255733,-37.783216,5.357748,0.000000,-28.285253,1.924465,-158.583699,-170.583699
