  ***   Warning: new maximum stack size = 16000008192 (15258.797 Mbytes).
  ***   Warning: new stack size = 2000000000 (1907.349 Mbytes).
curve,Ncond,LpL,LppL,LpppL,k2m,k2a,L_cum,L_cum3,B_f,kappa2,kappa3_no_C,a1_a4_no_C,a2_a4,r_pred_a3,r_pred_full_no_C
11a1,11,0.197410,-0.386487,0.414512,1.397546,0.000000,-0.425457,0.658787,2.114372,-2.855743,0.082348,-26.951040,-3.683506,0.982237,0.515004
14a1,14,0.033169,-0.279136,0.581282,1.787867,0.000000,-0.280236,0.609130,2.224594,-2.941987,0.076141,-28.887433,-2.654140,1.058125,0.643094
15a1,15,0.037742,-0.150165,0.488831,2.052970,0.000000,-0.151590,0.505941,2.297773,-2.978054,0.063243,-29.808901,-1.763040,1.114351,0.738234
17a1,17,0.047251,0.062881,0.212933,1.313075,0.000000,0.060649,0.204230,1.921790,-2.448928,0.025529,-20.792200,-3.595390,0.783152,0.421717
19a1,19,-0.086462,0.054767,0.352929,1.278784,0.000000,0.047291,0.365842,1.777898,-2.441800,0.045730,-19.393057,-5.020054,0.654934,0.251693
20a1,20,0.319746,-0.277644,0.278862,1.223193,2.135347,-0.379881,0.610568,2.536172,-3.268221,0.076321,-35.006857,0.549625,1.287601,0.989630
21a1,21,-0.142836,0.137751,0.221814,2.190575,0.000000,0.117349,0.275013,2.092194,-2.845153,0.034377,-26.834210,-3.913594,0.912347,0.497276
24a1,24,0.157581,-0.313166,0.463243,0.829777,2.135347,-0.337998,0.619117,2.380421,-3.040101,0.077390,-30.962911,-0.807230,1.139831,0.833070
100a1,100,0.319746,-0.277644,0.278862,0.000000,6.295101,-0.379881,0.610568,2.536172,-3.696563,0.076321,-42.902947,-2.020429,1.134439,0.795593
106c1,106,-0.466557,1.735706,-6.510916,1.297398,0.000000,1.518031,-4.284616,1.555154,-1.348053,-0.535577,-11.776597,-0.239141,0.408051,0.326906
200a1,200,-0.211639,-0.025458,0.565751,0.000000,6.295101,-0.070249,0.530628,2.004788,-3.464339,0.066328,-33.390612,-8.728447,0.704990,0.256228
221a1,221,-1.176192,3.574868,-11.891745,2.689287,0.000000,2.191440,-2.531907,0.881557,-1.538940,-0.316488,-8.506597,-3.149468,-0.082510,-0.222966
240a1,240,-0.507130,1.314459,-3.427857,2.052970,2.135347,1.057279,-1.688900,1.983950,-2.605240,-0.211113,-23.987680,-3.822497,0.681205,0.442325
496b1,496,-0.209916,1.426075,-7.222434,1.094009,2.135347,1.382011,-6.342865,1.845583,-1.882210,-0.792858,-17.704815,-1.003203,0.556387,0.450432
510a1,510,-0.818148,2.892303,-14.132588,3.793114,0.000000,2.222936,-8.128874,1.830332,-2.067232,-1.016109,-20.408425,-2.266681,0.545061,0.393814
5005b1,5005,-0.687186,3.727958,-21.642294,5.357748,0.000000,3.255733,-14.605906,1.924465,-2.074951,-1.825738,-24.067685,-1.321887,0.523828,0.428888
