  ***   Warning: new maximum stack size = 16000008192 (15258.797 Mbytes).
  ***   Warning: new stack size = 2000000000 (1907.349 Mbytes).
curve,N,B,k2,k3,a3_a4,a2_a4,a1_a4,r_a3,r_full
11a1,11,2.1144,-2.8557,-1.6607,4.4575,-3.6835,-33.9234,0.9822,0.4404
14a1,14,2.2246,-2.9420,-2.3817,4.8984,-2.6541,-38.7189,1.0581,0.5440
15a1,15,2.2978,-2.9781,-2.4147,5.1911,-1.7630,-39.7206,1.1144,0.6402
17a1,17,1.9218,-2.4489,-1.9681,3.6872,-3.5954,-28.7667,0.7832,0.3453
19a1,19,1.7779,-2.4418,-1.8652,3.1116,-5.0201,-27.0367,0.6549,0.1804
20a1,20,2.5362,-3.2682,-1.8097,6.1447,0.5496,-42.5508,1.2876,0.9202
21a1,21,2.0922,-2.8452,-2.6245,4.3688,-3.9136,-37.4696,0.9123,0.4004
24a1,24,2.3804,-3.0401,-1.7192,5.5217,-0.8072,-38.1494,1.1398,0.7699
100a1,100,2.5362,-3.6966,-1.2246,6.1447,-2.0204,-48.1067,1.1344,0.7628
106c1,106,1.5552,-1.3481,-5.3858,2.2206,-0.2391,-31.1773,0.4081,0.2065
200a1,200,2.0048,-3.4643,-1.2746,4.0192,-8.7284,-38.7543,0.7050,0.2273
221a1,221,0.8816,-1.5389,-4.7044,-0.4738,-3.1495,-26.0584,-0.0825,-0.3157
240a1,240,1.9839,-2.6052,-4.0393,3.9358,-3.8225,-39.3005,0.6812,0.3629
496b1,496,1.8456,-1.8822,-6.2669,3.3823,-1.0032,-39.6010,0.5564,0.3530
510a1,510,1.8303,-2.0672,-9.6049,3.3213,-2.2667,-54.7636,0.5451,0.2420
5005b1,5005,1.9245,-2.0750,-14.0480,3.6979,-1.3219,-72.9568,0.5238,0.2899
