  ***   Warning: new maximum stack size = 8000012288 (7629.406 Mbytes).
  ***   Warning: new stack size = 1000000000 (953.674 Mbytes).
curve,N,Lp_over_L_sym2_at_s2_arith,method
11a1,11,0.197409782747686457,pari_lfun_at_s2
14a1,14,0.033168604510385609,pari_lfun_at_s2
15a1,15,0.037742475302264965,pari_lfun_at_s2
17a1,17,0.047251262305083996,pari_lfun_at_s2
19a1,19,-0.086461921682997610,pari_lfun_at_s2
20a1,20,0.319745774321101819,pari_lfun_at_s2
21a1,21,-0.142835728295477020,pari_lfun_at_s2
24a1,24,0.157581447468691903,pari_lfun_at_s2
100a1,100,0.319745774321101819,pari_lfun_at_s2
106c1,106,-0.466556686195331930,pari_lfun_at_s2
200a1,200,-0.211638696475820924,pari_lfun_at_s2
221a1,221,-1.176191799901084779,pari_lfun_at_s2
240a1,240,-0.507129790788339815,pari_lfun_at_s2
496b1,496,-0.209916223679697837,pari_lfun_at_s2
510a1,510,-0.818147992659768616,pari_lfun_at_s2
5005b1,5005,-0.687185860803480373,pari_lfun_at_s2
