  ***   Warning: new maximum stack size = 16000008192 (15258.797 Mbytes).
  ***   Warning: new stack size = 2000000000 (1907.349 Mbytes).
# B3 NUMERICAL VERIFICATION
# u_f = U_f(T_200) / (c_f * T_200 * log^4 X), X = sqrt(N)*T_200/2pi
# Cages: M-N [0.132, 0.770]; Opus [0.053, 0.212]; conjectural 0.212

curve,N,T_200,Y,c_f,zero_count,U_f,u_f,in_MN_cage,in_Opus_cage,delta_to_target
11a1,11,177.16,4.5381,0.6429,199,63443986.8818,1313.248103,0,0,+1313.0359
14a1,14,172.02,4.6293,0.7165,199,66861675.7873,1181.167541,0,0,+1180.9553
15a1,15,171.10,4.6584,0.5693,199,69515636.0767,1515.419323,0,0,+1515.2071
17a1,17,168.91,4.7081,0.4772,199,75914406.8387,1916.740446,0,0,+1916.5282
19a1,19,166.78,4.7510,0.5641,200,82741570.7585,1726.151633,0,0,+1725.9394
20a1,20,166.04,4.7722,0.4089,200,88019341.3528,2499.538636,0,0,+2499.3264
21a1,21,164.70,4.7885,0.6272,200,91478532.1273,1684.247753,0,0,+1684.0355
24a1,24,162.91,4.8443,0.5786,199,98623155.6686,1899.870069,0,0,+1899.6579
100a1,100,141.43,5.4165,0.4089,200,410302089.0636,8242.492105,0,0,+8242.2799
106c1,106,140.91,5.4420,0.7347,200,439621523.1498,4841.533310,0,0,+4841.3211
200a1,200,132.92,5.7010,0.8734,200,855744326.9040,6977.984861,0,0,+6977.7727
221a1,221,131.73,5.7420,0.9160,199,885622440.1440,6751.618302,0,0,+6751.4061
240a1,240,131.01,5.7777,0.7800,199,901184938.9647,7913.640480,0,0,+7913.4283
496b1,496,123.19,6.0791,0.6144,200,1963052002.7203,18991.648053,0,0,+18991.4358
510a1,510,123.25,6.0935,1.0299,199,2087457631.2486,11928.011423,0,0,+11927.7992
5005b1,5005,103.35,7.0593,0.5758,200,19836379560.4505,134232.341967,0,0,+134232.1298
