# MK2 R_F numerical: 16-curve ladder, k=2, T_max=50
# columns: curve, N, n_zeros, sum_zeros, smooth, R_F, R_F_over_main
11a1,11,36,677.355579,-105.458289,782.813868,-7.422971
14a1,14,38,684.727105,-30.119820,714.846925,-23.733440
15a1,15,39,712.388606,-16.693432,729.082039,-43.674783
17a1,17,40,614.951160,26.557786,588.393374,22.155212
19a1,19,41,766.930458,34.606281,732.324178,21.161597
20a1,20,41,811.873910,58.441149,753.432761,12.892162
21a1,21,42,766.358552,68.998323,697.360229,10.106916
24a1,24,42,770.101773,95.028466,675.073308,7.103906
26a1,26,43,809.964244,99.785139,710.179105,7.117083
27a1,27,44,854.819459,109.758258,745.061201,6.788202
32a1,32,45,920.809082,142.659235,778.149847,5.454605
33a1,33,45,943.197197,297.508254,645.688944,2.170323
35a1,35,46,958.798454,226.902699,731.895755,3.225593
36a1,36,46,914.883169,180.762601,734.120567,4.061241
37a1,37,46,1517.156889,412.824503,1104.332387,2.675065
38a1,38,46,935.410846,215.710283,719.700563,3.336422

# AGGREGATE (uniform avg across 16 curves):
# mean R_F = 740.153441
# mean main = 113.579465
# |mean R_F| / mean main = 6.516613
# FAIL: |R_F|/main >= 0.1
