# MK2 R_F numerical: 16-curve ladder, k=2, T_max=50
# columns: curve, N, n_zeros, sum_zeros, smooth, R_F, R_F_over_main
11a1,11,36,677.355579,1294.057366,-616.701788,-0.476564
14a1,14,38,684.727105,1159.176040,-474.448935,-0.409298
15a1,15,39,712.388606,1029.004490,-316.615883,-0.307691
17a1,17,40,614.951160,1324.471273,-709.520113,-0.535701
19a1,19,41,766.930458,1373.395592,-606.465134,-0.441581
20a1,20,41,811.873910,1236.937652,-425.063742,-0.343642
21a1,21,42,766.358552,1423.708299,-657.349747,-0.461717
24a1,24,42,770.101773,1273.680087,-503.578314,-0.395373
26a1,26,43,809.964244,1477.074456,-667.110212,-0.451643
27a1,27,44,854.819459,1290.164554,-435.345095,-0.337434
32a1,32,45,920.809082,1295.057550,-374.248468,-0.288982
33a1,33,45,943.197197,2345.988039,-1402.790841,-0.597953
35a1,35,46,958.798454,1782.523014,-823.724560,-0.462112
36a1,36,46,914.883169,1436.657306,-521.774137,-0.363186
37a1,37,46,1517.156889,4271.257437,-2754.100548,-0.644799
38a1,38,46,935.410846,1815.847294,-880.436448,-0.484863

# AGGREGATE (uniform avg across 16 curves):
# mean R_F = -760.579623
# mean main = 1614.312528
# |mean R_F| / mean main = 0.471148
# FAIL: |R_F|/main >= 0.1
