p	n	Bern	Saw	ratio	B_raw
11	33	0.133589616402116	0.11135085978836	0.8335293026	0.0222387566137566
13	47	0.194295177447351	0.122828962502876	0.6321771035	0.0714662149444758
17	81	0.197033811096311	0.154511518574019	0.7841878392	0.0425222925222925
19	103	0.265505540051388	0.181544302327174	0.6837684151	0.0839612377242135
23	151	0.243511287044569	0.177953756339979	0.7307823736	0.0655575307045895
29	243	0.280236883408376	0.186490978095612	0.6654762065	0.093745905312764
31	279	0.382583215925613	0.199390478949993	0.5211689135	0.183192736975621
37	397	0.315583444569593	0.203468119544294	0.6447363543	0.112115325025298
41	491	0.297777744101074	0.216632807072334	0.727498315	0.08114493702874
43	543	0.402848765555639	0.223091784707449	0.5537854495	0.17975698084819
47	651	0.410959016979135	0.238743849788309	0.5809432083	0.172215167190825
53	831	0.421489277365407	0.246317324103091	0.5843976047	0.175171953262316
59	1029	0.338229189123755	0.230440047547115	0.6813133075	0.10778914157664
61	1103	0.431207087831598	0.240338857904575	0.5573629578	0.190868229927024
67	1329	0.422355165123826	0.246206577009059	0.5829372939	0.176148588114766
71	1495	0.460451345476879	0.255652767140845	0.555222109	0.204798578336033
73	1589	0.540200709237672	0.228037298918	0.4221343938	0.312163410319672
79	1857	0.514238316029696	0.250075715788324	0.4863031555	0.264162600241372
83	2061	0.553787488159321	0.27072203503632	0.488855456	0.283065453123001
89	2369	0.481729525873358	0.258582787072241	0.5367800253	0.223146738801116
97	2807	0.326449442874904	0.263011886669141	0.8056741784	0.0634375562057634
101	3045	0.38379262432306	0.258654510757744	0.6739434121	0.125138113565317
103	3177	0.492441759337807	0.268445585920035	0.5451316442	0.223996173417772
107	3427	0.562605851769205	0.27416768045565	0.4873175058	0.288438171313555
109	3569	0.643554732528982	0.268095428633099	0.4165852803	0.375459303895883
113	3837	0.697961156360673	0.261816364809192	0.3751159537	0.436144791551481
127	4833	0.505808187024178	0.265776495264643	0.5254491764	0.240031691759535
131	5155	0.565646081055969	0.271621610885278	0.4801971055	0.294024470170691
137	5635	0.537635773339779	0.276793868185548	0.514835288	0.260841905154231
139	5815	0.646895030910342	0.278452142098986	0.4304440888	0.368442888811356
149	6671	0.445014703850625	0.279285573581947	0.6275872936	0.165729130268678
151	6859	0.532215476568878	0.278230491500585	0.5227779043	0.253984985068292
