p	M(p)	sign(B)	B_numer	B_denom
13	-3	1	271	385
19	-3	1	2905619	680680
31	-4	1	137539965449	2218180536
43	-3	1	20154549620193743	179852372528400
47	-3	1	27948103481545055047	204773655626139600
53	-3	1	722026211884737884081	4256929264074171300
71	-3	1	20618149535169975398105147065	52227614001025774894457952
73	-4	1	14263300897884945358298880894271	19527929054434463633859538650
79	-4	1	37501059372004295716025075878673	53166949033984740149995200800
83	-4	1	1029474090143033350110168589641869621	1186604606882706691888638011181600
107	-3	1	641147636818102348499487124062490573158318863	436752948724226555565623372754347989101600
109	-4	1	252424323717359136294333971390323816938890467339	119764218821099972675714564715870010258408600
113	-5	1	51514259226365244363222807745207279957854001897552	18882112285205208192033640926364577153062313025
131	-3	1	1163674573714403078576285950278970209728763173958561299	523197966213820487634990826868495620055068800628800
139	-4	1	346010783408901153919660473216843845836153839483650349086303	102156803309944819102966362733200735391707224267867304000
173	-3	1	1818793793254290748139607966868927304501817768284156253842001581632950212179	363147627072996803673043051774325026296162137342708662175822027142618000
179	-3	1	3323604311832380952821260840991146767066779376588818232324394576873501204777	656290360837175395693596662532451593226152478516224655432964484643531200
181	-4	1	69611696682903174763337437721669877027734416800749922065672036661147807237559	9813505436945472487706835919324352974946116184778109448782207422112519920
191	-5	1	168216366303544676579847672319292304893254897192380897381678713122071670281656993	25069658991304935592279995854313514129359125635773543315162916434271848148800
193	-6	1	7280846894682444754273703063268846587792517542895886955382422218886066741621169868	823343645000892980192601422652534610667251972458423324070180437954095432488875
197	-7	1	704833807839192939291231608284920392188636530574833768770205303087367089306696401687627	65845177306998761152597995961401083833727788192195809064913104431805123604531526000
199	-8	1	61890083346419157073048435175177728759513989408223619436394293788761338342844631039411	4737308495726190452065599399383278736428847332720424275245397692700589053453128000
271	-3	1	479635801632777566825967331754231236726019581637848604771465705159479978540420958194321448247046364063597428366867	33009120895616817587220332348598516769341112074048008983874207771390183374160737093392262284325796442571209600
277	-4	1	5071720497089302252145203087174251489483925275898068942892446924674381361413756317895175702542761397868770235042040619	262506998751017480958654646593440930710373845025537865730508677433395396984404580826695620117427344173621506916000
281	-4	1	8073329971408775027639686583577739347451171443657338569353044398018785412535124757316160600161153242037379041390884477829	371708229546387773962119573555709168172613474967519686077089207769399436610606925323711558876514172406485966582188550
283	-6	1	9066289710532482798303876508459022075609404481903543681042536305280360141305943950123150704912034142850064974207552082821	344610028165420441923115536529186725642671570936509238379933507417625530743310784987521793828890073234108423835472000
293	-8	1	178585737132473403059437416343557541255727780707762714767642540056401005139905222534534635662220560741655074670086068438060629	6033571644194889015425180625718531499364972491078113296829601515455027101535894990955105507547103833618730693522272704800
311	-3	1	12532435616864123916478184041440606142827590922388225004232985208085631318569381635293237720621530394695935962085704152169621831730473	653230071336933066883283812872045082249525296429586578864917570512611509936597026031074639463326046556303696701546519285949974400
313	-4	1	8540344531026063000667063715657184916570636965696127622065959401202023475672398214515431993341734998375721712872689528662041619693843773	344830977334580982386072794919704663670772714607349642735448026428680008359038473619910810045009325599388730683605782171300202765500
317	-4	1	11335251741413721786241912344089225929374094968876065493894359857728639546213458565558949485974600529535004176298587182655175643316698889901	426263467374504309061953479249097197916873167312599198873074841378723732864686850377544431212094059502960833970103876755955602547692000
379	-3	1	234919986502690042159761806391639986615791057866593035608064029243761795641133496502774034500876682259819145899287051212063759053386825085441967238953511269171880843	7041596597662839176271883346534665478262506575088791622612071219007135398881660535094267687877459622755742105566528107688033284163617365352916710937151291536000
389	-3	1	290662580313962907157537814175094520617060222435090972250197542544459768110500879371960131838855965812340898668165631330424872245521633036631977723137002785485855993183	7358078565897842556978130060928504033334536439791438123946279254970753554988684772636595076102692936659151777660448112579223217363703757385815838230521655889156000
431	-3	1	139140467696122779732894441512258170590597730853895839423406196358737470511885855168554119421938973017691308347258461965177875843015176258157606182007995237854274808180894762391050992103	4014545431690677679399621002004692012390446612665325442592979524320859069951703332584624032308823216098180595030534776677136066414972650669850544365484148954077646810956543574057600
433	-4	1	4723663263611902123971066791059699145583728976181541206335167068943557757501460463607802046294356578129150256105307459718580925063700091160637265289801937833442893476943303129088947277	104760254017869876757672648055432995778183499865569630907530877608022552749919626169785242056945881578280702227658518372304117552701022988848816316805101790695009107680366346278850
439	-7	1	1555413449747445591059212498359180713369534327336456732904874063935850454717005409301544600426635319883803247903152427303608827308079678326467656505815723151549944552377145717981781805514629	27241569440412313245553530543764781337238897076275971835904171794347422911465127206653502878071612673337817147822163148990476963698750179601098664018390984441944702582825258203211664000
443	-9	1	69525948395209532778035056028823709699644006423381223893326796725039868754168953146251418205416885480315050023002982172296266915274510193649768366891359259579135329292516886988309824931390406539	959916606032692745823537196292557815592860946192896402128184169316329422971152363695768452652738986589217454077422703945133796864813958472304829679858653115175897998788450927882863256464000
449	-7	1	195935602320102792409880210942317561153412585387062644347464610279749498291722327041332846805731181042431504332012488767163784479350894718606298110730362657055196879879579996920375746238816059	2965505364628311449290546065884669478896593049575897794172674376136506478924010138232267651784360730922942899658331593102756011192959816011008799957590034072382605712509343810728244461125
457	-6	1	132594025826600518145923592005483052406672173894605209706667905997048162954195094914206952048134355250196080696593644816010076590558717333874891495385120694848026833385810653625501355334803418059	2116464474642618610977112128491808653837932541567971334708974195270983112109945036926147102577099777281812551839559264193186642829390286393066641514032317548135298212768361441820994342019000
461	-6	1	200465956507095429953228044977110318422979930593429935332505101494169823912126471936076883873658483929736041737085345198519847325979117877497482135799813194669589231380675462715166817528595977436827	2867586637635590072017323057316719255859225788221814038778482030978271008339001739064921301662933930396540622466824763690754839183008649430730535345608121904767171041663576619575764664069794400
463	-6	1	32549349343295976905142441429194167720631335886085839753666863826493100109975792058708172589303445048579972120255163448724394655885031975609561912622551755877384924903410613036331114816007699244021917	411273226118358975937340186192018888279885051316834103676229331223046181610029965897130726926989476193516519797895734131182272878374446673167867066579979024303931303375308017225093682419913232000
467	-7	1	3263553973723004259231032790021189785409375728096965400640135670318239131912225417863234523143589144015132200167065190229943000042150353391748308527693088875980632038850439538409810594396831109579671712559	36423049374803919615209622357329314415389695454992962133412118654822827617588304563369044835308952591677875771450448708559872830057146784089555935104468520959932593417352762421906041140122872265641600
479	-6	1	6148902188113349017123602890019548464755479100701861971848629330867285752017729596231904251387772129349967195542603902213412016201281179912979893406722435522336663538734972795908960524927752702738012191791	78863069307399815888525649801566105777751510517826830131450461374018125515555239361171647065924421462695744177104200335173909309220487595992460707546941829371573576398522349432087536184810136273104000
487	-5	1	540303705825549099037834920556948175641362618001107349271599098322863187911260537542675526998609321797602941245041061445017572170719907809284873535077450622795889049780229336809346490626357373672487218211919991	7300502007462074744806545902057544863639376898177721999214617334442717638045661688253390866383518708452095636067231899910667633580118911696804203791705755008932088727054150330245165901550956078518212432000
491	-5	1	3650710612879775883850582589445604495212264026728922361273512999592046159520758588122654835126615793671022964875177771964281131499038093293138020335141947886864723021408483484545795319872609345364655304843963470989	46927198271666249298556106940974192022127132734930679826017854375423678839775624936885354296305718629045147501580843395996169258277029644689573182605389444382286213495873949868777698520028701079689423388649600
499	-6	1	4986489623539640240723367275957791018916056679731566410016489574163274712521370516360484843583253675320165985441706299223166085706465794869348937619827634509998269177375237961574484452809531187688694247049447297298733	58944895670017019254463846986376205285882076000425959586924201845133083372209248532669966293946388347191018669184480507773228395194906549721380464272850764462307277656481958548626483666722155624864344919669756800
503	-5	1	556226498755014751889321876782800650761746277830044039596100103583727714830856796200461862560106169942516235575672156342229456426861215425235214421255830553882111575869841026143585191591412541337753763359477934742313	6777123793720293709623103472245971026297979651431829843934963276318534673606370090700273691468089549912544604109774507011667867647779660395716032545135852855588600390962548238483493110913169913176693890816944000
509	-6	1	334735135495974751283189820903119153176130210911396929402727026983981263247167301615733126248209766325908695655351522626408593045724416941384028818747323206158903334260972355515610159892891523646419218929617584038198823507	3750970339373467469119623494747312955949968077015866545646922609360773414946809785230810126534618939070387039215057323969976610307163237024006159142053442956090845644905026339235240407313842957115271096390970476108000
523	-3	1	28689375592249118323192924697227706099152317360322468172620019269719460750608334741189330036032195687514214451679666727691301363408436904559038799077730309464986136647493928268725002711236122229830414776063116100513887980039	364236826020301706735813157422354093854199077624343496221165783858329964408011378992250380516467267758502249266694513758739199413158844126484091191917396091344004811401181961127946153690874401016959835658601977796166400
617	-3	1	371420525257460045996423757872434616515688510826213546536673971576495242106601088388341798645110495706851832764920226257929083108253320349935776243282354895658256783534984090714117684336175194830286519459643986274407347093227875249733258787120220539523524844552169487	3316097127227286046409622543896434011899472751853422499449701426381308637086448288816495430776147759930085694009423331677411359089102709815415072311313065367406516935639916709658778570152229374737945152882283481162061216197409896160601991520330421002742424030200
619	-5	1	117366717152653162281162943107057705588199688075684552126665909517870802753371269943458387996722129162750015737941990685400635866038980448720726852386459338797864748228755428818067206840300978768460361290928722959697229107369314167775760403211751344278489118031962137643	845977674349917625373797091360579002698750555358699553971082674691902400019469640962669673696431904100206900084367427699492233537288180834208420140912156841639363100403954545435840251324874683965748726455608460339502674235941394546313435536167341857795059820404480
631	-3	1	1605124763982181163167695286567659055208294922755575127045154466884961888668805142978598086062101374870984315591720386216968215013051118367500932061274497840495214534571057629566245000018502986469572474186312272854869430082674146662667402394138698434889650693983864734099557	13439451474300921438776706267577184919035939989536031759767687231810204647352489841907873019733407535643743686547927098298137790773309604347166007373123683659236097971541926068111179461059809441595741250655372576212376744500228112646836970800520236252684292932606752000
643	-4	1	2740258642698484049205113071256295209375023020338398546270842459464990548711040200492815492979767515367707598712213974644587448141740029233866323107617599442537946681956610545858432888340262531704372385380431705323545749850883216257831017553434007725215015110141859642315633839239	20852120410652324127964733237723662021804627324585337113934628669374542359299642963968676020699344709653664695562783088794811892972811350929702768470254386730507221986961442412750986285549162840868559756298333766991062869604718962405233870706208454082649108700128208097440000
647	-7	1	81909070668078327985442831561697086508722349952020088182317166303330640876109743579878390904028652510650586788615597128257801506176533150315926570926781133633919745288381580330001337504298394619153277384186608097704212548759085768462497293422214326345023549331135368592390062137461	459479044424028147430800131788820007717149620334833707305161648472820931630887606137720362624149337686201062683702905719709144779039946756265980625660928385217986776958983943452443879822376839739916017869034374346990108836876567524002080347536409047509450622721529041948960000
653	-8	1	25298432869225292964264776878401695792500344274405394159253650817922293606121054805820342462892017068144612495080674581842321591472580519377364079280558330934719004766209160996871995564633527906932605658991834631325177073871396726188213136181282342702222249968848717451926028443437	130231030336327139490277741802426008999346970205794294053889332193524091347818525151249374967075533537471282367627711984190318256597526041151887898218787233045736722419622603723920748355872596917286757042515311948125360322373299788188297571854619463326046246288353170706680000
659	-10	1	1420461702498496382454746766663028710942870817915486752220473082038421871890418989254686542214857136864338152301565431899294864336711408587417403770749189398863348721691124871424378010989761382024346301651586543003954374881893127911319428776364873252488816980800359938364638202352471038901	6755196228235022174447995701452735998911678681814297934223412211894215811890536705405177738408682025330249822884289942271001785237174550314936444248131901195880922118632744805886698170881864270566397503959622600556789958394653992877267057961423040073831967200192338453924713361120000
661	-11	1	10729211040217207041591007733833233997785188162101314763102075166144516180245260750420709064883249222948981134664341004335473114320592801510965835005299324880371137115912740719367373075394612179483005579715994636552925635564059460481036582407967241373634081783522347601053052765348802558599	45912252333538037387593868214033515506584324974383691204291919281285166908833829267573730114173189924572940261735604597922199625675769637251776972221997668657684595782535549658592505239093036813974019098150148452956682999043991437295083012654360211330645223844542353997926991490212800
673	-11	1	1753727666573993371344543973824215066834404882109993892132145368756281223592197700076032273258582114845802071878390497951868746586899528285187893528456856626186704928224984302251218465481551694356809952370852048655141843678959795331262651081505349629847353331870304223026764445767527297496591	7635830715861226200080968779769444919077221242249472128695884187068170281131524802444574361232051879026947888258224894240027993177662094539746687741164663061183363975036016741435163003383643558775356269731860607523025950037399822119986677313608767510859825573129382431260164925096842500
677	-11	1	153695620996569168663170890851554125540725259749485397813889936898904956941077858221898724692333224380538916357908693271583526811163574354007418783432483735667627201308190377734247454122671460139117390062991428158573370184750295931061426106054948409874258322006340114186445594010920221939781761	635429176686759401239413720775042416001458465848011199672201972170968326105082496072889524434789020713836433766939691945804513740478660827178787567721998131123186110680473715325905728624314291087018331628424093153898525939109525228409365902521129279542846561291133814183230736062759640000
683	-12	1	2943816134323790584410351339381024671325170613806525115697062000794567073310353020609506151836339183644386254953400850975373151444536996473184877987509860704235500840499906770563774957115135304843038017713714201272672680836300209299746728398333649603470550308407777900762602285075902795922064221793639	11641598163199663791889065440706883300127846517323614862790541226363648500190200941467832111808319695177138110922825403802942813130506685333422995856045060963956205389583836598290879934478096218554649576176023385882720920245771689607468254093856916857687304282412915343863633413237330541410080000
691	-9	1	4556999917235613623551064596789885055172404563939664148892715963648399285094702901587352854964576095055562457838417660164530462931271669161335842442146776110049650119296075501000607855361459107820775053178551185057544620958994118143800323829588353921372413395808756439815324346293842152895745702879167	20736209988173999434991694454032008269279766260748895815750873184534226810751392832937038754437635898939551049277341631462787579874837662301328561078815057425630317034532096633029259373482865233375653322933152649170152961554058841533005841330897919826438348279506062654061961782289120837337248000
701	-5	1	449194599360324096014283617826712981828993687417343490841854922517168151312135043078502576033680897111211792519199191813995935150873185207153426137452920441723011240675892824254094157478238697776863526689074319522630710553583374881923007566198599101350610999375835280685198640754497019066299431556987913559	2676502753813643836600766078229765816719322862371624734029224639230638604583000962258059441592166742340565898909638334671635002706450384838770370369525114025826585491086455440027075570402012374458161690308465632682557364553155237146902702198865851767531441206338841883759033460963801243720640024011200
709	-4	1	292656472354947120189362769989157239231526929232616558263871723205420233828660996308203887934750563788438642034013566646229508508826619041253655722476987769246267146598428545890702296518986210798805872981206700892513775107030532470536958401679695327197843873351419699615466999304802268347715395477085295818223	1855028109175642698615813438682692212237530690064627481621667415918749100662257870310776508459429689924457184456157529411541378288213564746305961497635555723832069915926728367826675116378908858964152459653056618583800704500329484276815192046586826924191635875636256655876493953806408573861183700257480000
719	-3	1	114343787587719929866439302381184285785133826634625552090493232276531429149798747521692481530908554501778513133793805819809521590889578026345462297196934539572677373396089503311588917369946277990680750772353361391252898707108285721383416142631099427738785521383873036713927857633026913228331805569688903781	835008655651959912715951024461845781473665669743971541367555675109273350206995874899860139944558270046339527708617723993820179229064519735697959146639153899386384475815493732944086976019188111476736247225573822255608933253997221813703085618535387199683195233665045148283787132081628802141799731974400
733	-3	1	93049850270456304717996055714109992468581918746899146287782409193300281402893610839369910855877668627847847953692584588301668865879258909020726206712580459599644681810562639667004264447774301055887068230791676623797675074140935171958091939047041526613308090100495884303714964500087545191816430896895090910130622393889	664939615446997313700018000644401725772797040571637478967979109129239704488773245212919930575846701624806139600767427043458071080224980619396785627152936458927821374847672967176949036528492913729831816882389829117864949484903118645495914625544833579255197469051739482517487790781697421673813573718217339670040000
743	-5	1	254690028693518722318346719572472970161130587841676485434135476681422512809307063956043588975294234273408794155154451477901917422989054161400216206212727826742904172729168944531395629967725212568083325153066247218625923498551988842441139529983026098466405753730278951299878676741063878465966806215772030214314709172838596229	1279205439554575057633783415046275946036551946134908440952757997594196443073876993882016449683088502894276852666617209598941865293343647416615246051919528114523031111258226457278131424386557505898467079189040648312156541754204840198713448728838985504743458155009863416807426034500802804475914541878457991447164733088000
