p,a_p(37a1),a_p(11a1),a_p(389a1),reduction(37a1),reduction(11a1),reduction(389a1)
2,-2,-2,-2,good,good,good
3,-3,-1,-2,good,good,good
5,-2,1,-3,good,good,good
7,-1,-2,-5,good,good,good
11,-5,1,-4,good,bad,good
13,-2,4,-3,good,good,good
17,0,-2,-6,good,good,good
19,0,0,5,good,good,good
23,2,-1,-4,good,good,good
29,6,0,-6,good,good,good
31,-4,7,4,good,good,good
37,-1,3,-8,bad,good,good
41,-9,-8,-3,good,good,good
43,2,-6,12,good,good,good
47,-9,8,-2,good,good,good
53,1,-6,-6,good,good,good
59,8,5,3,good,good,good
61,-8,12,-8,good,good,good
67,8,-7,-5,good,good,good
71,9,-3,-10,good,good,good
73,-1,4,-7,good,good,good
79,4,-10,-13,good,good,good
83,-15,-6,-12,good,good,good
89,4,15,-8,good,good,good
97,4,-7,-9,good,good,good
101,3,2,-4,good,good,good
103,18,-16,-6,good,good,good
107,-12,18,0,good,good,good
109,-16,10,2,good,good,good
113,-18,9,9,good,good,good
127,1,8,11,good,good,good
131,-12,-18,2,good,good,good
137,-6,-7,-2,good,good,good
139,4,10,16,good,good,good
149,-5,-10,10,good,good,good
151,16,2,-10,good,good,good
157,23,-7,-6,good,good,good
163,-18,4,-20,good,good,good
167,-12,-12,8,good,good,good
173,9,-6,15,good,good,good
179,18,-15,-19,good,good,good
181,5,7,15,good,good,good
191,-4,17,-4,good,good,good
193,-26,4,-18,good,good,good
197,3,-2,8,good,good,good
199,2,0,-2,good,good,good
211,-13,12,7,good,good,good
223,-17,19,-5,good,good,good
227,-16,18,12,good,good,good
229,7,15,-8,good,good,good
233,6,24,-6,good,good,good
239,-6,-30,5,good,good,good
241,14,-8,-30,good,good,good
251,-2,-23,22,good,good,good
257,0,-2,8,good,good,good
263,19,14,-24,good,good,good
269,-6,10,3,good,good,good
271,-31,-28,-8,good,good,good
277,12,-2,17,good,good,good
281,12,-18,-12,good,good,good
283,4,4,-9,good,good,good
293,-2,24,-10,good,good,good
307,-17,8,26,good,good,good
311,0,12,-7,good,good,good
313,22,-1,19,good,good,good
317,22,13,-22,good,good,good
331,-2,7,4,good,good,good
337,-25,-22,-18,good,good,good
347,-10,28,9,good,good,good
349,6,30,-10,good,good,good
353,8,-21,14,good,good,good
359,-15,-20,-20,good,good,good
367,8,-17,2,good,good,good
373,-19,-26,-22,good,good,good
379,15,-5,4,good,good,good
383,20,-1,-7,good,good,good
389,4,-15,1,good,good,bad
397,-5,-2,24,good,good,good
401,18,2,-22,good,good,good
409,20,-30,-1,good,good,good
419,7,20,-35,good,good,good
421,-24,22,-16,good,good,good
431,-30,-18,11,good,good,good
433,9,-11,29,good,good,good
439,28,40,16,good,good,good
443,1,-11,35,good,good,good
449,36,35,-24,good,good,good
457,18,-12,-9,good,good,good
461,30,12,-14,good,good,good
463,-22,-11,-27,good,good,good
467,-2,-27,28,good,good,good
479,14,20,36,good,good,good
487,-24,23,20,good,good,good
491,-28,-8,-27,good,good,good
499,12,20,-36,good,good,good
503,16,-26,-9,good,good,good
509,-31,15,30,good,good,good
521,-33,-3,8,good,good,good
523,-22,-16,38,good,good,good
541,20,-8,-20,good,good,good
