p	M_p	T_p_minus_1
100003	-47	-47.8209905487
100019	-45	-47.0795184068
100043	-40	-42.6501702465
100049	-38	-41.7622475399
100057	-38	-41.0802043893
100069	-36	-40.3886951846
100103	-37	-40.3387334251
100109	-36	-40.2264077863
100129	-38	-39.2424741559
100151	-36	-36.8377923108
100153	-37	-37.8123809360
100169	-36	-37.2562289585
100183	-36	-38.0605090835
100189	-36	-38.2492650311
100193	-35	-38.3641414273
100207	-35	-38.3049505516
100213	-33	-37.1135270421
100237	-37	-38.1521064205
100267	-28	-32.9605170252
100271	-28	-33.9918687087
100279	-28	-33.2477430428
100291	-29	-33.9531684701
100297	-31	-35.5755433625
100313	-28	-34.0583710297
100333	-24	-32.0961428051
100343	-23	-30.9482818870
100357	-20	-28.4218055418
100361	-21	-29.3616526563
100363	-21	-30.0368982671
100379	-23	-31.1022080143
100391	-25	-31.7367511957
100393	-26	-32.6560973586
100403	-24	-31.7147754476
100411	-26	-33.9433775312
100417	-25	-33.9650479331
100447	-20	-28.6785479957
100459	-20	-29.3497124177
100469	-20	-29.5358200532
100483	-26	-32.7538123169
100493	-27	-33.7686960949
100501	-31	-36.7812964732
100511	-29	-35.6602933079
100517	-33	-38.7555124932
100519	-33	-39.4526712109
100523	-33	-39.8901162671
100537	-29	-37.5160063429
100547	-30	-38.1656262705
100549	-31	-39.1634680971
100559	-33	-39.9796116241
100591	-29	-36.2088887771
100609	-25	-33.6000804207
100613	-27	-34.9403975821
100621	-27	-34.7720238481
100649	-21	-31.1277762030
100669	-20	-30.7848036503
100673	-23	-32.8231900649
100693	-23	-31.8888245566
100699	-21	-31.2163814999
100703	-23	-32.8252983357
100733	-20	-30.2481689764
100741	-17	-28.7610236539
100747	-17	-28.6733587566
100769	-13	-26.6399714582
100787	-10	-24.0281210937
100799	-11	-24.9039650942
100801	-12	-25.9034789830
100811	-9	-24.2098256930
100823	-7	-22.1773408208
100829	-9	-23.8810829725
100847	-3	-20.6272977603
100943	-3	-18.1459566266
100957	-8	-20.3793231630
100981	-7	-18.9519368526
100987	-12	-22.2358143263
100999	-13	-22.5601942675
101009	-15	-24.1404309362
101021	-18	-26.0278990385
101027	-18	-27.0838083323
101051	-16	-25.0087216713
101063	-15	-23.4347289068
101081	-15	-23.0872061891
101089	-12	-21.8924894596
101107	-12	-22.5534212054
101111	-13	-23.0830614585
101113	-14	-24.0074917931
101117	-16	-25.6537186266
101119	-16	-26.3382752831
101141	-18	-27.7083225445
101149	-17	-27.2116442616
101159	-19	-28.8461263942
101161	-20	-29.8239733692
101173	-18	-30.1488485866
101183	-20	-32.6765142088
101197	-20	-32.8764473621
101203	-17	-31.5437303876
101207	-19	-32.5590885367
101209	-20	-33.6423922280
101221	-20	-34.3007683325
101267	-5	-22.4831139389
101273	-5	-22.2288536410
101279	-8	-24.1152483930
101281	-9	-25.0986508416
101287	-12	-26.9451353843
101293	-12	-27.1952604634
101323	-13	-27.0817822643
101333	-14	-27.1940122020
101341	-20	-31.2759625027
101347	-19	-30.6307312141
101359	-15	-27.6666989107
101363	-16	-28.5316022405
101377	-14	-27.4184646309
101383	-16	-28.9231935531
101399	-19	-30.0789852232
101411	-21	-30.9755467759
101419	-23	-32.3706671477
101429	-20	-30.6252541839
101449	-20	-29.5842015345
101467	-23	-31.8681641194
101477	-25	-33.5185254537
101483	-23	-33.0633438083
101489	-21	-32.2007529358
101501	-27	-35.6602770304
101503	-28	-36.7713585854
101513	-28	-36.4783632293
101527	-31	-39.0470748914
101531	-33	-40.5941370231
101533	-34	-41.7607741424
101537	-33	-41.8335320146
101561	-32	-42.2626992830
101573	-33	-42.6300901328
101581	-32	-42.1076790378
101599	-37	-44.7212531101
101603	-39	-46.2839888982
101611	-44	-50.1751646118
101627	-40	-46.6945792956
101641	-41	-47.2623143093
101653	-44	-49.2484069305
101663	-43	-48.3973883916
101681	-36	-43.5683908994
101693	-39	-44.5096081759
101701	-38	-44.4527085470
101719	-40	-46.5716968936
101723	-43	-48.8167358185
101737	-39	-46.8343271418
101741	-41	-48.6104186141
101747	-39	-47.8765791235
101749	-40	-48.7138142534
101771	-39	-46.9422929646
101789	-37	-45.1966192078
101797	-34	-43.1882347786
101807	-36	-44.7384550495
101833	-31	-41.0886541114
101837	-33	-42.6241406996
101839	-33	-43.3212969673
101863	-34	-42.9167501422
101869	-37	-45.1370072981
101873	-37	-45.6845985790
