N	T(N)	T_over_sqrtN	abs_T_over_sqrtN
1	2.0000000000	2.0000000000	2.0000000000
2	1.5000000000	1.0606601718	1.0606601718
3	0.8333333333	0.4811252243	0.4811252243
4	0.5833333333	0.2916666667	0.2916666667
5	-0.2166666667	-0.0968962790	0.0968962790
6	0.1166666667	0.0476289672	0.0476289672
7	-0.7404761905	-0.2798736931	0.2798736931
8	-0.8654761905	-0.3059920416	0.3059920416
9	-1.0876984127	-0.3625661376	0.3625661376
10	-0.6876984127	-0.2174693327	0.2174693327
12	-1.4301226551	-0.4128408500	0.4128408500
13	-2.3531995782	-0.6526601339	0.6526601339
14	-1.9246281496	-0.5143785095	0.5143785095
16	-1.4537948163	-0.3634487041	0.3634487041
18	-2.2838601758	-0.5383110059	0.5383110059
20	-3.0312285968	-0.6778033198	0.6778033198
22	-2.0052545709	-0.4275217110	0.4275217110
24	-2.8784429766	-0.5875597122	0.5875597122
27	-2.6509785892	-0.5101810674	0.5101810674
30	-3.6688767829	-0.6698421916	0.6698421916
33	-4.0618081124	-0.7070700351	0.7070700351
37	-3.8229230088	-0.6284846712	0.6284846712
41	-3.6094639390	-0.5637035617	0.5637035617
46	-3.9886110361	-0.5880886135	0.5880886135
51	-4.3406657729	-0.6078147833	0.6078147833
56	-4.2195759961	-0.5638645605	0.5638645605
63	-4.5308820080	-0.5708374768	0.5708374768
69	-4.2231751224	-0.5084105398	0.5084105398
77	-4.9012553127	-0.5585498808	0.5585498808
86	-5.5726715531	-0.6009166277	0.6009166277
95	-2.9702530071	-0.3047415285	0.3047415285
100	-3.6358657036	-0.3635865704	0.3635865704
105	-6.2717397076	-0.6120591238	0.6120591238
117	-7.5007663408	-0.6934460935	0.6934460935
130	-5.8129288142	-0.5098275832	0.5098275832
144	-5.9526225636	-0.4960518803	0.4960518803
160	-5.6647448491	-0.4478374022	0.4478374022
177	-7.0982937202	-0.5335404280	0.5335404280
197	-9.9578482374	-0.7094673111	0.7094673111
218	-4.0574552571	-0.2748055456	0.2748055456
242	-8.2037484979	-0.5273569267	0.5273569267
269	-7.4525877961	-0.4543922975	0.4543922975
298	-10.0903292321	-0.5845170783	0.5845170783
331	-6.6701184204	-0.3666228655	0.3666228655
367	-8.2878571949	-0.4326226240	0.4326226240
407	-7.4876516916	-0.3711491149	0.3711491149
451	-10.2536423771	-0.4828251624	0.4828251624
501	-10.6712402096	-0.4767558525	0.4767558525
555	-4.1499706094	-0.1761564418	0.1761564418
616	-9.5169212922	-0.3834476862	0.3834476862
683	-15.4297518339	-0.5904030458	0.5904030458
758	-10.1725934959	-0.3694852342	0.3694852342
841	-10.3641280789	-0.3573837269	0.3573837269
933	-5.7652601043	-0.1887461422	0.1887461422
1000	-8.1934298256	-0.2590990010	0.2590990010
1035	-13.6479522916	-0.4242260378	0.4242260378
1148	-11.4749956730	-0.3386737889	0.3386737889
1273	-6.0007473825	-0.1681865037	0.1681865037
1412	-1.4167205461	-0.0377022131	0.0377022131
1566	-10.7325780029	-0.2712115462	0.2712115462
1737	-15.2035626285	-0.3647921282	0.3647921282
1927	-9.5067089800	-0.2165655347	0.2165655347
2137	-13.0467923663	-0.2822289043	0.2822289043
