N	T(N)	T/logN	elapsed_s
10	-0.687698412698413	-0.298663625848546	0.000
50	-4.96811675328799	-1.26996102691484	0.000
100	-3.63586570357304	-0.789518206001527	0.000
500	-11.3339148603321	-1.82375375580153	0.000
1000	-8.19342982563858	-1.18612045371212	0.000
5000	-11.4713642084669	-1.34684795221363	0.002
10000	-27.1479327735104	-2.947549349654	0.001
50000	-7.02919468738194	-0.649661619915999	0.001
100000	-49.0155757469393	-4.25743881484132	0.002
500000	-37.8674574459334	-2.88571931418529	0.004
1000000	139.629678512919	10.1067331480143	0.006
5000000	-479.225973537044	-31.0682382152987	0.020
10000000	606.725464688729	37.6425030492144	0.036
50000000	-589.392329018941	-33.247283211244	0.110
100000000	1123.07000572689	60.9678882847804	0.125
500000000	-2242.58134527239	-111.960462328932	0.488
1000000000	-519.632304261052	-25.0748269288052	0.914
