scenario,seed,kernel,kernel_param,match_mode,match_basis,match_target_mass,mode,alpha,effective_alpha_n,effective_alpha_p,curve,source_curve,true_rank,assigned_rank,conductor,K,c,P,D,D_zeta2,L2,L2_rank_power,X,p_max,prime_count,product_complete
real,,smoothstep,none,none,alpha,0.75,all,0.75,0.75,0.75,37a1,37a1,1,1,37,1000,20.046619233053612,0.018855566560404904,0.37799036325993546,0.62176922546660407,0.38160853820808993,0.38160853820808993,1.6293378245314711,997,168,True
real,,smoothstep,none,none,alpha,0.75,cP_only,0.75,0.75,0.75,37a1,37a1,1,1,37,1000,20.046619233053612,0.018855566560404904,0.37799036325993546,0.62176922546660407,0.38166426104492446,0.38166426104492446,1.6290999418292866,997,168,True
real,,smoothstep,none,none,alpha,0.75,P_only,0.75,0.75,0.75,37a1,37a1,1,1,37,1000,20.14780821157591,0.018855566560404904,0.37989833877964208,0.62490771939768197,0.38166426104492446,0.38166426104492446,1.6373231218631867,997,168,True
real,,smoothstep,none,none,alpha,0.75,PL2_only,0.75,0.75,0.75,37a1,37a1,1,1,37,1000,20.14780821157591,0.018855566560404904,0.37989833877964208,0.62490771939768197,0.38160853820808993,0.38160853820808993,1.6375622053218364,997,168,True
real,,smoothstep,none,none,alpha,0.75,all,0.75,0.75,0.75,11a1,11a1,0,0,11,1000,3.9681247678749254,0.18163121376101621,0.72073531794427337,1.1855620776672231,0.54601250240207044,1,1.1855620776672231,997,168,True
real,,smoothstep,none,none,alpha,0.75,cP_only,0.75,0.75,0.75,11a1,11a1,0,0,11,1000,3.9681247678749254,0.18163121376101621,0.72073531794427337,1.1855620776672231,0.5460478673445236,1,1.1855620776672231,997,168,True
real,,smoothstep,none,none,alpha,0.75,P_only,0.75,0.75,0.75,11a1,11a1,0,0,11,1000,3.8534284234510268,0.18163121376101621,0.69990288169260917,1.1512940935814167,0.5460478673445236,1,1.1512940935814167,997,168,True
real,,smoothstep,none,none,alpha,0.75,PL2_only,0.75,0.75,0.75,11a1,11a1,0,0,11,1000,3.8534284234510268,0.18163121376101621,0.69990288169260917,1.1512940935814167,0.54601250240207044,1,1.1512940935814167,997,168,True
real,,smoothstep,none,none,alpha,0.75,all,0.75,0.75,0.75,389a1,389a1,2,2,389,1000,36.014501721788953,0.0035870388946531886,0.12918541844761119,0.21250149574451899,0.36016921999220908,0.1297218670297963,1.6381316474246299,997,168,True
real,,smoothstep,none,none,alpha,0.75,cP_only,0.75,0.75,0.75,389a1,389a1,2,2,389,1000,36.014501721788953,0.0035870388946531886,0.12918541844761119,0.21250149574451899,0.36011312749674285,0.12968146459548538,1.6386420095375513,997,168,True
real,,smoothstep,none,none,alpha,0.75,P_only,0.75,0.75,0.75,389a1,389a1,2,2,389,1000,37.437233881897761,0.0035870388946531886,0.13428881404259543,0.22089624501531172,0.36011312749674285,0.12968146459548538,1.7033756189009128,997,168,True
real,,smoothstep,none,none,alpha,0.75,PL2_only,0.75,0.75,0.75,389a1,389a1,2,2,389,1000,37.437233881897761,0.0035870388946531886,0.13428881404259543,0.22089624501531172,0.36016921999220908,0.1297218670297963,1.7028450952264913,997,168,True
real,,smoothstep,none,none,alpha,0.75,all,0.75,0.75,0.75,37a1,37a1,1,1,37,3000,23.715371883988063,0.014683241218754519,0.34821852596506553,0.57279651606760995,0.38157524448023783,0.38157524448023783,1.5011364713867743,2999,430,True
real,,smoothstep,none,none,alpha,0.75,cP_only,0.75,0.75,0.75,37a1,37a1,1,1,37,3000,23.715371883988063,0.014683241218754519,0.34821852596506553,0.57279651606760995,0.38159008905305708,0.38159008905305708,1.5010780743521017,2999,430,True
real,,smoothstep,none,none,alpha,0.75,P_only,0.75,0.75,0.75,37a1,37a1,1,1,37,3000,23.946137343569369,0.014683241218754519,0.35160691087305462,0.57837018583435562,0.38159008905305708,0.38159008905305708,1.51568450655944,2999,430,True
real,,smoothstep,none,none,alpha,0.75,PL2_only,0.75,0.75,0.75,37a1,37a1,1,1,37,3000,23.946137343569369,0.014683241218754519,0.35160691087305462,0.57837018583435562,0.38157524448023783,0.38157524448023783,1.5157434718339282,2999,430,True
real,,smoothstep,none,none,alpha,0.75,all,0.75,0.75,0.75,11a1,11a1,0,0,11,3000,3.9683616180639913,0.18673751585368029,0.74104199056636089,1.2189652152476291,0.54604465503409783,1,1.2189652152476291,2999,430,True
real,,smoothstep,none,none,alpha,0.75,cP_only,0.75,0.75,0.75,11a1,11a1,0,0,11,3000,3.9683616180639913,0.18673751585368029,0.74104199056636089,1.2189652152476291,0.54602137063872891,1,1.2189652152476291,2999,430,True
real,,smoothstep,none,none,alpha,0.75,P_only,0.75,0.75,0.75,11a1,11a1,0,0,11,3000,4.1187060161140892,0.18673751585368029,0.76911692998075309,1.2651466395150628,0.54602137063872891,1,1.2651466395150628,2999,430,True
real,,smoothstep,none,none,alpha,0.75,PL2_only,0.75,0.75,0.75,11a1,11a1,0,0,11,3000,4.1187060161140892,0.18673751585368029,0.76911692998075309,1.2651466395150628,0.54604465503409783,1,1.2651466395150628,2999,430,True
real,,smoothstep,none,none,alpha,0.75,all,0.75,0.75,0.75,389a1,389a1,2,2,389,3000,47.459073979416004,0.0028839509183917525,0.1368696399889589,0.22514153353509081,0.36011987373879273,0.12968632346164402,1.7360468515531522,2999,430,True
real,,smoothstep,none,none,alpha,0.75,cP_only,0.75,0.75,0.75,389a1,389a1,2,2,389,3000,47.459073979416004,0.0028839509183917525,0.1368696399889589,0.22514153353509081,0.36011098951509601,0.1296799247695416,1.7361325119149871,2999,430,True
real,,smoothstep,none,none,alpha,0.75,P_only,0.75,0.75,0.75,389a1,389a1,2,2,389,3000,49.229072333537445,0.0028839509183917525,0.14197422836787932,0.23353824485681457,0.36011098951509601,0.1296799247695416,1.8008820198796611,2999,430,True
real,,smoothstep,none,none,alpha,0.75,PL2_only,0.75,0.75,0.75,389a1,389a1,2,2,389,3000,49.229072333537445,0.0028839509183917525,0.14197422836787932,0.23353824485681457,0.36011987373879273,0.12968632346164402,1.8007931647926294,2999,430,True
real,,smoothstep,none,none,alpha,0.75,all,0.75,0.75,0.75,37a1,37a1,1,1,37,10000,27.693256003417744,0.013373045961855448,0.37034318536713479,0.60919012203548761,0.38157774449291698,0.38157774449291698,1.5965032836101261,9973,1229,True
real,,smoothstep,none,none,alpha,0.75,cP_only,0.75,0.75,0.75,37a1,37a1,1,1,37,10000,27.693256003417744,0.013373045961855448,0.37034318536713479,0.60919012203548761,0.38157704685050614,0.38157704685050614,1.5965062025184011,9973,1229,True
real,,smoothstep,none,none,alpha,0.75,P_only,0.75,0.75,0.75,37a1,37a1,1,1,37,10000,27.925452718688575,0.013373045961855448,0.37344836271264348,0.61429793403472022,0.38157704685050614,0.38157704685050614,1.6098922592568552,9973,1229,True
real,,smoothstep,none,none,alpha,0.75,PL2_only,0.75,0.75,0.75,37a1,37a1,1,1,37,10000,27.925452718688575,0.013373045961855448,0.37344836271264348,0.61429793403472022,0.38157774449291698,0.38157774449291698,1.6098893158747185,9973,1229,True
real,,smoothstep,none,none,alpha,0.75,all,0.75,0.75,0.75,11a1,11a1,0,0,11,10000,4.1061125497428606,0.17562836907107998,0.72114985033363233,1.1862439561162916,0.54604344700106255,1,1.1862439561162916,9973,1229,True
