curve,rank,conductor,K,alpha,mode,logK,loglogK,P,logP,product_residual_logP_plus_rank_loglogK,s1_proxy_all_primes,s1_proxy_good_primes,s1_proxy_trace_coeff_0p5_minus_rank,s1_proxy_all_adjusted,s1_proxy_good_adjusted,harmonic_good,harmonic_good_minus_loglogK
11a1,0,11,1000,0.75,all,6.9077552789821368,1.9326447339160655,0.18163121376101621,-1.7057769456410312,-1.7057769456410312,-0.80011126978269065,-0.89102036069178081,0.5,-1.7664336367407234,-1.8573427276498136,2.0879424541775102,0.15529772026144473
11a1,0,11,3000,0.75,all,8.0063675676502459,2.0802371710391188,0.18673751585368029,-1.6780513067154907,-1.6780513067154907,-0.69923119133007627,-0.79014028223916599,0.5,-1.7393497768496355,-1.8302588677587255,2.2361583031710115,0.15592113213189274
11a1,0,11,10000,0.75,all,9.2103403719761836,2.2203268063678463,0.17562836907107998,-1.739385055755249,-1.739385055755249,-0.68884713961648125,-0.77975623052557097,0.5,-1.7990105428004044,-1.8899196337094941,2.377090645496053,0.15676383912820668
11a1,0,11,30000,0.75,all,10.308952660644293,2.3330127080622156,0.17552923067164261,-1.7399496934116399,-1.7399496934116399,-0.63185644665200069,-0.72276553756109041,0.5,-1.7983628006831085,-1.8892718915921982,2.4909532900056477,0.15794058194343208
11a1,0,11,100000,0.75,all,11.512925464970229,2.443470357682056,0.18421504131020724,-1.6916515010017403,-1.6916515010017403,-0.52752503190485422,-0.61843412281394372,0.5,-1.7492602107458821,-1.8401693016549716,2.6024780826004532,0.15900772491839721
11a1,0,11,300000,0.75,all,12.611537753638338,2.5346120896979718,0.18558980271864078,-1.6842164023881201,-1.6842164023881201,-0.47401592078905103,-0.56492501169814402,0.5,-1.741321965638037,-1.8322310565471298,2.6945278617522912,0.15991577205431939
11a1,0,11,1000000,0.75,all,13.815510557964274,2.6257919144760109,0.1885062943505913,-1.6686238808712395,-1.6686238808712395,-0.41236872306124867,-0.50327781397034654,0.5,-1.7252646802992542,-1.8161737712083519,2.7865898941815659,0.16079797970555498
37a1,1,37,1000,0.75,all,6.9077552789821368,1.9326447339160655,0.018855566560404904,-3.9709471004387225,-2.0383023665226569,-3.5009446056142437,-3.4739175785872165,-0.5,-2.5346222386562109,-2.5075952116291838,2.1518245180595743,0.2191797841435088
37a1,1,37,3000,0.75,all,8.0063675676502459,2.0802371710391188,0.014683241218754519,-4.2210484886983251,-2.1408113176592063,-3.6821528980493357,-3.6551258710223085,-0.5,-2.6420343125297761,-2.6150072855027489,2.3000403670530756,0.21980319601395681
37a1,1,37,10000,0.75,all,9.2103403719761836,2.2203268063678463,0.013373045961855448,-4.3145140931830452,-2.0941872868151989,-3.7030952802720476,-3.6760682532450204,-0.5,-2.5929318770881244,-2.5659048500610973,2.4409727093781171,0.22064590301027076
37a1,1,37,30000,0.75,all,10.308952660644293,2.3330127080622156,0.011128209096329547,-4.4982720344288332,-2.1652593263666176,-3.8292170231211804,-3.8021899960941532,-0.5,-2.6627106690900728,-2.6356836420630456,2.5548353538877118,0.22182264582549616
37a1,1,37,100000,0.75,all,11.512925464970229,2.443470357682056,0.010274204251278967,-4.5781189667298685,-2.1346486090478125,-3.853445199593033,-3.8264181725660058,-0.5,-2.631710020752005,-2.6046829937249778,2.6663601464825173,0.22288978880046129
37a1,1,37,300000,0.75,all,12.611537753638338,2.5346120896979718,0.010044410687708859,-4.6007389496628228,-2.066126859964851,-3.8298497857630207,-3.8028227587359935,-0.5,-2.5625437409140348,-2.5355167138870076,2.7584099256343553,0.22379783593638347
37a1,1,37,1000000,0.75,all,13.815510557964274,2.6257919144760109,0.0089785393184294241,-4.7129180693161654,-2.0871261548401545,-3.896068069950386,-3.8690410429233588,-0.5,-2.5831721127123806,-2.5561450856853534,2.85047195806363,0.22468004358761906
389a1,2,389,1000,0.75,all,6.9077552789821368,1.9326447339160655,0.0035870388946531886,-5.6304282372643533,-1.7651387694322223,-5.3525816983067909,-5.3551523923941948,-1.5,-2.4536145974326926,-2.4561852915200966,2.176280850999198,0.24363611708313249
389a1,2,389,3000,0.75,all,8.0063675676502459,2.0802371710391188,0.0028839509183917525,-5.8485940782924102,-1.6881197362141727,-5.5001437164889602,-5.5027144105763641,-1.5,-2.3797879599302822,-2.3823586540176862,2.3244966999926993,0.2442595289535805
389a1,2,389,10000,0.75,all,9.2103403719761836,2.2203268063678463,0.0018289474561243319,-6.3040146381849054,-1.8633610254492128,-5.8841148102015408,-5.8866855042889439,-1.5,-2.5536246006497714,-2.5561952947371744,2.4654290423177407,0.24510223594989444
389a1,2,389,30000,0.75,all,10.308952660644293,2.3330127080622156,0.0015867831622755361,-6.4460464804999233,-1.7800210643754921,-5.9694689799334144,-5.9720396740208175,-1.5,-2.4699499178400908,-2.4725206119274938,2.5792916868273355,0.24627897876511984
389a1,2,389,100000,0.75,all,11.512925464970229,2.443470357682056,0.0013156340747937838,-6.6334365434118281,-1.7464958280477161,-6.1012026585932082,-6.1037733526806113,-1.5,-2.4359971220701242,-2.4385678161575273,2.690816479422141,0.24734612174008497
389a1,2,389,300000,0.75,all,12.611537753638338,2.5346120896979718,0.0011990495100100858,-6.726226111036917,-1.6570019316409734,-6.1474034602452186,-6.1499741543326216,-1.5,-2.3454853256982608,-2.3480560197856639,2.782866258573979,0.24825416887600715
389a1,2,389,1000000,0.75,all,13.815510557964274,2.6257919144760109,0.00088814941556284843,-7.026370568357386,-1.7747867394053642,-6.4014975201570632,-6.4040682142444663,-1.5,-2.4628096484430468,-2.4653803425304499,2.8749282910032536,0.24913637652724274
